document_index,document,topic,probability
0,I think this was a paried control group because the variables were related to each other and they both were related to what the results would be.,topic_0,0.5306827849304357
1,I think the control group was the models we had and randomization was in the form of that we didn't know which model we were going to do next.,topic_0,0.4042205199135249
2,Randomization was used because we were given different bags with different numbers and maybe some of the bags had different items.,topic_0,6.794322179918437e-308
3,Randomization could be each person having different blocks to judge and having to find the size difference between them. A control group was that we all came to the same place to do the experiment and it was a controlled environment.,topic_0,0.3427219635312039
4,"Randomness was used by the test subject in picking the order of bar graphs, it could have also been used to determine control percentages (using a random number generator 1-100) for the different graphs used. 

The use of a control group was demonstrated by the older results being compared to current ones. The older data is the control group.",topic_0,0.1954386265795359
5,"random convenience sample for sampling due to just taking a random ""convenience"" sample of all stats 218 students.

I don't think there is any control group as every individual did the experiment by by themselves and there were not placebo or other vehicles controlled by the experiment creators.",topic_0,1.0
6,"Randomization was used by having each student get randomly assigned ti a different bag of blocks. The control group was students that were taking STATS 218. I think that this was easiest for the experiment so that results were of a similar population,",topic_0,0.0925878414229025
7,"There were different bags of models, that people used at random. This was most likely to have some factor of randomization.",topic_0,6.821102547189298e-308
8,I think randomization was definitely present in this design I think there was no control group because most of the experiments were random. But I think overall this study was designed to have both sides of the experiment randomized to really give the participants all a fair chance to answer a variety of questions given on the test.,topic_0,0.1956964679760435
9,The use of a control group was used as all the participants within the experiment were in the same class and given the same questions to answer over the same kits. There was also randomization used as the questions and kits very all in a random order when presented in the experiment. There was also a process of replication used as the questions and kits were very similar as the experiment was performed.,topic_0,0.13043068463797391
10,"Random assignment because it was given to stat students, not necessarily specific students. Random selection as well because everyone was given different bags to use for the experiment. Lastly, replication because it was done multiple times to get accurate results.",topic_0,1.4802372613085486e-307
11,"The control group was pretty narrow because of the fact that it was only for student AT UNL that are currently enrolled in the intro to stats class. The randomization was pretty narrow in a sense that it's one subject taken at UNL, instead of having students from a more advanced stats class or calc class complete the experiment.",topic_0,1.0
12,"I think control group, because it is limited to students enrolled in a stats class. If it were random, there would be a few from this class, a few from an english class, bio class, etc.",topic_0,1.0
13,I don't believe randomization was used as the experimental group was only STATS 218 students. Since the experiment was conducted last year it could be compared.,topic_0,1.3907667724194052e-307
14,Randomization was present in making the kits and distributing to the individuals.  Randomization was used to avoid bias.,topic_0,0.0669053114104836
15,control was probably determined off the same shape given both physical and digitally,topic_0,1.0
16,"Control group: A control group may have been included to compare responses to a standard (i.e. commonly used graph)
Counterbalancing: To control order effects, the order that students were exposed to graphs may have varied across individuals",topic_0,0.38748506091571405
17,"Randomization was used to present the graphs to us. They were all presented in a randomized order to prevent bias of seeing one model before another. 

I don't really think there is a control group, but since everything that is given to us is randomized, it helps keep everything unbiased. 

This study was replicated from Cleveland and McGill and replication is important in experiments to compare the findings, and build on the knowledge of the experiment.",topic_0,0.430857925609044
18,randomization because both the bag of 3d printed graphs and the code generated were random for each given person that completed the experiment.,topic_0,0.20263645918396328
19,"I believe radimnization was used for the presented bar graphs, however there was one bar at least at 50% and I believe that to be the control group. I believe it comes ntonues asking questions on om different bar graphs for different sections depending on your answer to the question.",topic_0,0.3535827951501355
20,The elements would be the blocks and they are used as the control group.,topic_0,1.0
21,"I don't remember there being the use of a control group other than showing us the height of a stat in a bar graph, the variable that is being manipulated is the different heights of bar graph data points and their nehighboring points. Another randomized portion was which bag you got, I assume they all had different bar graphs to observe increasing the amount of data points. I think each of these as well as anything else was included, was done so in order to get a clear confirmation that the variable they are testing for indeed was influencing.",topic_0,0.3776993657267695
22,The randomization aspect that was involved within the experimental design would be the various kit numbers that the students were able to choose from for the experiment. This works to have provided randomization and in terms of which participants worked with which kit.,topic_0,0.06860027914401706
23,Randomization was used with the different structures so we wouldn't have the sme answer every time.,topic_0,8.18230743996022e-308
24,Control group was present in the experiment because the 3D charts were picked by the participants and also the participants were from a Stats class. But also the there was a randomization of 2D charts and 3D charts included in the experiment.,topic_0,0.49316169135912036
25,One element of experimental design that was present in the experiment was randomization because each participant in the study was randomly given a kit that was different from the other participants. The way in which the study was carried out was through randomization.,topic_0,1.3198364451920754e-307
26,"Since the experiment was limited to only stat 218 students, it was a limited group of people. So the experiment was not a random group or control group as we were the only ones asked. The ""control group"" in my opinion would be the actual measured ratios and height comparisons.  However, I think random assignment was a part of the experiment as we were able to grab a test kit bag which were different and not assigned. As well, I believe taking the experiment online allowed for more randomization.",topic_0,1.0
27,Random assignment was used in the experiment because when we entered the room we had to choose a bag full of figures for the study. The bags had different codes and graphs representing different experimental groups. I do not think there was a control group because the different bags were all experimental groups. The manipulation in the experiment was just the comparison of 2D and 3D graphs using different figures.,topic_0,0.30447313981101043
28,"I think the sample group was random, a class from a college is going to have a lot of different types of people from age to place they are from which would change the outcome of the experiment. I think this is designed in the experiment because it gives a variety of answers in the experiment.",topic_0,1.0
29,It was randomization. The control group were the professors and I think that they wanted to see the difference,topic_0,0.4775220619589945
30,"I believe this experiment was randomized because everyone in the experiment got to choose a different bag full of shapes to compare, meaning each participant in the study had an equal chance of being assigned any shapes to compare. I also believe there was a control group in this experiment because there were many different variables in this experiment such as age, school, class, etc. All the participants in this study are currently taking the class Stats 218, and all of the participants are college students attending the same university.",topic_0,0.15826932427984658
31,The randomization was what bag the students picked upon arrival. This was present so that students couldn't share answers and skew the data.,topic_0,0.08055824127180213
32,This study is randomized because multiple different students in a Stats class. All different backgrounds and multiple different majors.,topic_0,0.11532747316972738
33,I think the control group in this study were the students because everyone had to participate and it was not really randomized because it was specifically meant for Stat 218 students.,topic_0,1.0
34,I imagine there is a control group-- maybe a computer program-- that has the exact numbers. The bag of graphs each participant received was also randomized.,topic_0,0.10932872631939966
35,"Use of a control group, those were the students who took it in person.",topic_0,1.0
36,"Each student was given the same baggie of graphs, and asked the same questions I assume. We all performed this in the same room. Randomization could be that students performed this during different times of the day",topic_0,0.2158473487548027
37,"All the different groups of graphs/bars were randomly assigned to students.

I'm sure there was a consistent bar/graph (control) present in all the bags/groups, to gauge how students all interpreted the same bars/graphs after viewing varying ones.

An element of experimental design would be having the bars/graphs digitalized and 3D printed. The 3D printed ones were neat as they made the experiment more ""real.""",topic_0,0.13750943693227458
38,"The group of students themselves were randomization, lots of students from lots of different majors take statistics, so it's a good representation of the campus's population. The control group was likely that the Ziploc bags of graphs/graphing program we used had all the same graphs for every student doing the testing, so they could have something to compare against everyone who took the experiment.",topic_0,0.3548949895215388
39,"Randomization because everyone was given a set of questions and different order of graphs because no one had the same order, you got to choose for a certain part of the experiment.",topic_0,0.16646591977702352
40,"I believe that this experiment utilized randomization. Granted the only participants were the Stats218 students, but majority of those students come from different backgrounds and even many different ages.",topic_0,1.0
41,well since it was only stat 218 students that seems more like a controlled group because only those groups participated in the experiment,topic_0,1.0
42,randomization was used when picking out the real life blocks from the bag because there was no way in telling what block a person would pick and when they would pick it from the bag.,topic_0,0.06568715608627683
43,I think its a random sample because there are many different age groups in the stats classes and they didnt pick it based on anything else.,topic_0,1.2193980608053237e-307
44,The experiment was not fully random because it only surveyed students who were in the statistics class. This was not a random survey throughout the whole campus on UNL.,topic_0,1.3728479838442237e-307
45,"I am not sure it is very random, as it was just all the statistics students, although it is a specific group.",topic_0,1.14492265676313e-307
46,"I did not note a control group at the time of the experiment - it appeared to be all randomization. At first, the experiment called for the user to pick which column appeared larger/smaller than the other and gave two choices. The second half of the experiment called for the user to guess a percentage of how much taller one block was than the other and provided a sliding scale. This would provide more specifics with data.",topic_0,1.0
47,random selection of the different kits was there. i also think there was a good sample diversity as a bunch of diff uni students participated.,topic_0,7.923022965371551e-308
48,"Randomization is present in the random assignment of the bags of bar graph models and switching between computer and in-person models. I'm not sure if all students observed the same visuals on the computer, but if everyone did, that would be a control.",topic_0,0.2123742040654214
49,It was very randomized because there were multiple bags of 3D models and multiple randomly selected people that we're experimented on.,topic_0,0.07756146007803992
50,"I feel like the use of randomization was not used in this cause because all those that took part in the experiment were students in a stats class, and therefore there couldn't be complete randomization. There was some randomization based on participants randomly being given the kit they were supposed to use, but otherwise it seems as though randomization may not have explicitly been use for this experiment. I feel as though the use of a control group is much more likely since it was controlled as to who was experimented on and what they used to experiment.",topic_0,0.14371250158405027
51,"I'm assuming that there were different model kits therefore increasing data samples and randomization

 

the control group would be the actual size difference between the data",topic_0,0.5227159146954625
52,I think that randomization was used and that everybody may have been given a separate set of blocks to look at and a control group may have been used also where it didn't mater what the height of the blocks were.,topic_0,9.47095966577019e-308
53,I think randomization was in use for the experiment. This will help with ensuring that decisions made by the subject are not biased.,topic_0,0.16884657595337982
54,The people used in the experiment were all in a stats class which would be probably be convenience sampling because for it to be completely random you wouldn't assign students to do the experiment as a requirement.,topic_0,0.13427254858939763
55,"I don't think that there was a control group because there was constant change, however I would say that randomization would definitely be apart of this experiment because the subjects were assigned to different 3D graphs.",topic_0,0.4360764745108056
56,"Elements of experimental design were present in that we were randomly assigned a different packet to use for our experiment. As well we were not told why we were doing it or what results they are looking for, just for us to participate so that they can track the data. This way the data is authentic and not skewed.",topic_0,1.4074048204860302e-307
57,The randomization here was what bad you were given in the experiment. Everyone was given a bag and some people got the same bag as others but not many so in this experiment mostly everyones answers were different. This is why its a good control group experiment that would provide some good results for this experiment. So yes I think there was good randomization.,topic_0,0.10358651601020283
58,"There was randomness because everyone got a different kit, I'm not sure what else was involved",topic_0,7.782966686615956e-308
59,There were different bags with different observational units. Then at the end it gave us a code to put us into a group. He did this to see what percentage of the class was in what category of reading.,topic_0,0.13991997730999328
60,"Randomization was used, because the 3D model kit that was used by each student was random. A control group was most likely used. The control group might consist of students that completed the experiment using only 3D models or only pictures.",topic_0,0.1568509985382607
61,"The control group wasn't exactly randomized because people who feel less confident about their answers are more likely to not release them.

Everyone in 218 does the experiment so that in itself is randomized.",topic_0,0.12156269981894388
62,Random students participated in the experiment. The bars were randomly generated.,topic_0,0.21844884248760277
63,"I think the control group was the blocks because everyone examined the same blocks, but also had different results. I think this was present because the goal was to figure out how people examine the same blocks",topic_0,1.0
64,I think one of the graphs had to be a control. I remember there being a little quiz or something before starting the experiment so maybe that was to test us for the control group. A control group is set to 'standard' conditions to draw comparisons from once the experiment is over.,topic_0,0.09797180970614297
65,"- convenience sampling- the participants were students in a stats class. 

* I don't believe there was a control as far as I know

* randomization from the bag of graphs that were given.

* I would need to know more about the experiment to give you anything else.",topic_0,0.352201574954379
66,the researcher may have only targeted specific groups/classes,topic_0,1.0
67,I think the use of control group because these were all comparing different groups.,topic_0,0.7084040633616615
68,"To prevent differing answers, the creators opted for a constant variable, the graphics.",topic_0,0.19432076811676627
69,I think randomization was used in this because each person was randomly given a set of charts to interpret.,topic_0,0.20155710529161547
70,"For this experiment, I definitely think randomization was a part of the experimental design. I say this because the bags of materials were handed out randomly when they became available to use. Additionally, on the same page, I believe this experiment also included only experimental groups. I say this because, as a result of the randomization, everyone received different bags and no one was specifically grouped into using certain things.",topic_0,0.1022349880931059
71,The randomness of what graph you pull out of the bag and the mix of questions we were administered. I am not sure how a control group would have been used in this experiment.,topic_0,0.3638691942983716
72,"I think the graphs you receive, and the order they are presented to you in, are randomized. I don't know what the control group would have been in this experiment.",topic_0,0.5791310567390191
73,"I believe that convenience sampling was used because they are experimenting with a statistics class, so they may be more predisposed to graphic interpretations than a random person. I also believe randomization was used because each class had a different set of 3D models.",topic_0,0.19287274288769873
74,"I think randomization was part of this experiment's design. This was done to rid of possible confounding variables like gender. A control group may have been part of the experiment's design, but I am not sure what that group's ""non-treatment"" would have been. A control group, if it was part of the design, would provide a baseline for the experimental group(s).",topic_0,0.431829975325865
75,I think principles of sample size were considered in this experiment. This experiment is using a large number of STATS 218 students.,topic_0,1.0
76,Randomized photos could have been used from a database when looking at the study because they wanted a larger spread among different age groups. Replication was used among the student pulling from this same data base. Controlled variables were the in person models being the same in each bag,topic_0,0.14709483146160943
77,The control group was that the bigger graph piece was always at 100. I think this is the control because it stayed the same each time and with every changes in the graphs we observed.,topic_0,1.0
78,"Not randomization - if randomization were used, kits would be randomly assigned rather than picked. I don't know if a control group was used, because this study could have been on statistics students vs students not in a statistics class.",topic_0,0.14101552739571244
79,"A control group was used, because results were only taken from individuals 19 and older, as well as participating in Stat218. Gender was also taken into account, and will most likely be divided into categories based on these things.",topic_0,1.0
80,design was used to target specific stats students they maybe the control was the ones in person because i would think they were testing about the online graphics,topic_0,0.36267520616461113
81,The randomization of the students in STATS 141 and the control group could be the actual answer.,topic_0,1.0
82,The fact that we were all around the same demographic. Maybe people all got the same materials to work with.,topic_0,0.07746556629944792
83,"The randomization aspect could be seen in the random kit each participant used. The different kits could have different difficulties of models to assess, which when given out randomly, might show results related to the accuracy of that participant's responses. A possible control group present could be participants that have no prior experience with statistics. This would provide a benchmark to compare active statistics students with. The only evidence of this study being an experimental study is the assignment of the model kits. Besides there being different kits used by participants, there was no manipulation by the researchers as for what was done on the survey.",topic_0,1.556686444131587e-307
84,I think that the elements are a controlled group because they are given to us and not randomized.,topic_0,1.0
85,"I think that the elements of the experiment are a controlled group because they are given to us and we are just judging them based of looks, but they are not randomized and are set out in a controlled manner.",topic_0,0.6126366460704078
86,I think that it is randomly assigned because we were given random bags.,topic_0,6.751236570408661e-308
87,The kind of graph shown,topic_0,0.1518808352421483
88,"The randomization of the groups were present in the experiment through the use of the ta's handing out the different packages, as well as the user's requirement to randomly pick a 3D model.",topic_0,0.15736412933526894
89,"I guess overall they were pretty random because not everyone had the same blocks, and didn't know where the blocks were going. A bunch of different classes experimented, so there wasn't just one class studied. Lastly, possibly something like the kids are from different age groups.",topic_0,9.782945660127094e-308
90,I think there were randomization because the different charts weren’t assigned to specific students and the students randomly chose which data set they interpreted.,topic_0,0.21215763010736022
91,I would say it was random because they used both 2D and 3D graphs for both groups,topic_0,0.12835746999580308
92,"I think the randomization was used, because there were many random participants. There were many different students that participated in this study.",topic_0,1.3855295172943115e-307
93,It was a randomized order and repeated measures design was also present. Conditions were controlled to have a baseline comparison.,topic_0,0.1623294789361328
94,"Random sampling, I don’t believe there was a control group but it also has random assignment to the bags",topic_0,0.10134612076376949
95,"The experiment included several good design elements. Each participant got a random mix of chart types and bar layouts, which helps avoid bias from always seeing things in the same order. The charts were also randomly assigned different ratio values, so no one could guess patterns. Everyone answered the same types of questions, making it easier to compare results. While there wasn’t a traditional control group, the 2D chart acted like a baseline to compare the 3D formats against.",topic_0,7.492298677013177e-308
96,"Random assignment was used, but not random sampling because we are all from statistics courses. A control group was also probably utilized, without us being aware.",topic_0,1.146673903375116e-307
97,Randomizing groups by giving different people different 3D printed graphs. This was done to see if results differ between the different 3D graphs and it is not just up to chance.,topic_0,0.166856213630755
98,Randomization by randomizing which bar charts to utilize for each participant was used,topic_0,0.23905967921672688
99,An element that played a part of this experiment was the randomization of the Stats 218 class and what package they got.,topic_0,0.12537267342265945
100,"There was some factors that indicate there was a control. Like at the beginning of the experiment we had to depict which model was 25%, 50%, and 75% to the other graph. However I think the element of randomization was present in the experiment. There was no selected models per person and each graph was random.",topic_0,0.4720102193968467
101,The observational study was used because it was the design for the experiment.,topic_0,1.668933639220637e-307
102,"The control group used was the digital 3D graphs, and random assignment was used by having students pick the bags of graphs randomly.",topic_0,0.26180657133012436
103,"I think that the control groups were present, because the experiment was planned out. They had to plan this experiment out otherwise the results would not have been as accurate.",topic_0,1.0
104,"Randomization could have been used in this experiment because they want each participant to have a different set of graphs to interpret. If they gave each participant, the same set of graphs the previous participant could have influenced the other on what they thought the answers were, which would skew the evidence.",topic_0,0.1445585286628876
105,"Each participant received a random kit. This may have been to ensure that if a single kit was somehow flawed, useable data could still be gathered.",topic_0,7.86744616403494e-308
106,"Random assignment of different graphs, the 2D bar is a control group. Helps give the experiment validity.",topic_0,7.758317695447485e-308
107,it was random because we were asked in class and with 40 some people the sleep schedules are not going to be controlled.,topic_0,1.1175709777730674e-307
108,I think that the elements of randomization was there somewhat. All the test subjects are in a statistics class but many of us have different majors so it is a good pool to test. I think that the different bags of figures was probably given to students at random as well.,topic_0,0.1100306501483794
109,"That was no random sampling. 

But the group for different type of problems were randomly assigned. 

Researchers know the answer.",topic_0,1.1557533706969785e-307
110,"To reduce bias the graphs were randomly assigned to random participants in a random order, we did have a control group as there was 2D graphs that seem to be easier, and a lot more accurately read by participants.",topic_0,7.617366410921876e-308
111,randomization was when the participants got to pick a graph and then answer which graph is bigger.,topic_0,6.836613737161391e-308
112,I think randomization of the bags that we got was present because when e walked in we were able to just grab any bag on the table so it really was random when students picked.,topic_0,0.07666677120728602
113,"randomization: different graphs, different forms of the test

Different forms were given, possibly to see what threw people off the most.",topic_0,0.15174827162633742
114,"I believe randomization was an element of the experiment. They have mentioned in the Future Research and Implications section that they wanted a bigger sample group from a statistics class in the future. 

While reading I did not see anything about if the experiment was random or a control group was used. I would think the researchers would use a random group.",topic_0,0.14217343124622517
115,"Randomization was used through how the graphs were shown to us, but I don't think we counted as random sampling since we volunteered and weren't from the general population of Lincoln. There was no control group present, as all participants took part in the randomized measurements.",topic_0,0.397373674719656
116,"The study included randomization; the participants were given randomly ordered graphs to avoid bias. It also included controlled conditions, in which they used the same ratios and graph sets across different groups. These elements helped ensure that the results reflected the differences in chart perception and not outside influences.",topic_0,7.257446740034214e-308
117,"Randomization, because bags were chosen at random, even if it was the participants who chose.",topic_0,6.941957908145039e-308
118,"Randomization was used in this study because it was open to every single STAT 218 student. They didn't pick certain students from our class, they took everyone, and they had no idea who would sign up for STAT 218 this semester. This is good because it makes it less biased.",topic_0,1.4477370046040075e-307
119,"The experiment involved convenience sampling from the Stat 218 classes and those who volunteer to participate in the experiment. The models being perceived were randomly presented, however, they were in assigned baggies/units that were presented to the respondent(s). The control method, I believe, was the use of identical or similar models for all respondents, helping to create a stable testing method and presenting respondents identical data models in multiple formats or presentations. All of this culminates into comparatively simple forms of data collection that can guarantee a degree of randomness without bias or skewing and control methods that aid the experiment's final interpretation.",topic_0,0.13389219441298614
120,"Since only stats students participated, the experiment did not use randomization for participant selection, as the sample was predetermined. Additionally, without a control group, it may have been difficult to compare the results against a baseline or determine the specific effects of the experimental conditions. These factors could limit the generalizability of the findings to other populations.",topic_0,0.26443083485986085
121,The experiment likely used randomization to present the 3D-printed bar graphs in a random order or to assign participants to different groups. This helps reduce bias and ensure fair comparisons. Standardization of the bar graphs and repeated trials across participants would help make sure there is consistent conditions and reliable outcomes.,topic_0,0.09914822803023549
122,"the order which the participants recieved the graphs, which would be randomization",topic_0,6.734564676995554e-308
123,Elements of experimental design that was present in the experiment would be replication because this was replicated the same way for each person and within different sized groups.,topic_0,1.314913664437035e-307
124,"I can't remember the experiment well enough to answer this question, We should have had this assignment right after we participated in the experiment.",topic_0,0.24419448923326365
