document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
0,There's no results in whether if you were close to the percentage or not and they never got the opinion of the students whether or not if it was easier looking at the screen or in person.,0.13222144455843007,0.02102394234623843,0.02658473461235795,0.020309291169665695,0.08449895534964724,0.028971519260323608,0.028315701768294326,0.027309103688742505
1,"It might be a sampling error, also people may accidentally grab the wrong model and list the wrong one.",0.24252864664473717,0.06623108080480723,0.08367785742069535,0.06867928161998975,0.10854944036763083,0.059477772779516845,0.08796841608770199,0.08408593828860926
2,The people who did the experiment could have made errors while doing the experiment.,1.0,1.171750579314577e-308,1.289758745416174e-308,1.1222919961689466e-308,3.2481881429755997e-308,1.3754838967887645e-308,1.5818060565244963e-308,1.631213414143019e-308
3,"A source of error that I could think of is some people might have worse eyesight than others. Also, a source of error could be that at the beginning of the experiment it would be easy to be confused on what to judge and it is tough to judge the blocks on a screen.",2.4705556219904174e-308,3.70171314300453e-308,1.8723448342102197e-308,2.0311534525478226e-308,1.32638574748246e-308,3.6542896021150234e-308,4.838184960065437e-308,1.0
4,"Some individuals may show bias toward rounding numbers or common numbers used in society (i.e. advertisements that show only 10’s as discounts ( 40% off, 50% off, etc.)).",0.0904533772445445,0.08192129843622334,0.123601565598577,0.09949681822865838,0.06326090055688022,0.04527762501949221,0.07836297972934811,0.07917128635129592
5,"Possible bias or selection error within the participants.

One error I also thought of is that if the 3D bar charts don't come out as accurate as the 2D charts, it could skew the results to not be as accurate as desired. So I would classify it as a ""design error""",1.3483330431240523e-308,1.0,2.606944961768568e-308,3.85242087119797e-308,9.212916391574905e-309,1.182487586071185e-308,1.834511598474538e-308,2.769392087531519e-308
6,"Maybe not all students participated

maybe more students used one type of bag than others",1.0,9.85247829393165e-309,1.113774931014372e-308,8.870194563139596e-309,2.310920734130198e-308,1.6858981924937366e-308,1.3483288657667325e-308,1.373357900656233e-308
7,"People may be guessing, without taking much thought or speeding through the experiment. It also may be hard for certain people to make these guesses, if they aren't spatially aware.",0.44227076021119976,0.05547265953789559,0.0614186763846344,0.05188582874157141,0.16656444264201525,0.07228905071379965,0.07348958463854346,0.07660899713034047
8,A source of error that could have been involved in this experiment is if a participant accidently got the wrong kit and typed in a different kit and then the answers would not match up to the correct way the experiment should have been done. Another error that could have occured is if the participants looked at the right answer and then just matched their answer with the correct answer since it was shown while taking the test.,0.3641004376461963,0.06842875226689839,0.07101711447463693,0.059305707919107116,0.13484035097609173,0.10468845260408946,0.10035499683994746,0.09726418727303263
9,All the students participating in this experiment may not be the same age or grade level. This could have a very slight difference on the results if some students are more educated than others.,1.0,9.635574884001096e-309,1.127586340539728e-308,8.78911807510619e-309,2.404695187308163e-308,1.5767828517938597e-308,1.281584918899668e-308,1.329990167900935e-308
