Document,Topic,Name,Representation,KeyBERT,MMR,POS,Representative_Docs,Top_n_words,Probability,Representative_document
They gave us charts and information that shows which one of the two ways looking at the bar graphs is more accurate than the other and which one people prefer.,0,0_3d_2d_graphs_graph,"['3d', '2d', 'graphs', 'graph', '3d graphs', 'charts', 'printed', 'perception', 'accurate', 'bar']","['3d charts', '3d graphs', 'bar charts', '3d graph', '2d graphs', 'graphs different', 'graphs', 'bar chart', 'graph 3d', 'graph']","['3d', '3d graphs', 'perception', '2d graphs', '3d printed', '2d 3d', 'data', 'graphics', 'models', 'accuracy']","['3d', '2d', 'graphs', 'graph', 'charts', 'perception', 'accurate', 'bar', 'data', 'thought']","[""Participation in the project involves actively collaborating with team members, sharing insights, and contributing to the project's development. Post-study reflection entails reviewing personal learning experiences and identifying areas for growth or improvement. An extended abstract provides a succinct summary of the project's objectives, methods, and findings for a broader audience. The presentation distills the project into a visually engaging format, highlighting key points and outcomes. Regarding 2D vs. 3D graphs, 2D graphs represent data along two axes, suitable for visualizing relationships between two variables. In contrast, 3D graphs add an extra dimension, often depth or color, enabling the visualization of relationships between three variables, providing a more comprehensive view but potentially being more challenging to interpret."", 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).', 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).']",3d - 2d - graphs - graph - 3d graphs - charts - printed - perception - accurate - bar,1.0,False
I think the presentation was the easiest to understand. It explained the true meaning of the study in simple terms. When we participated and did the reflection we weren't given any background really at all.,-1,-1_learned_did_lot_better,"['learned', 'did', 'lot', 'better', 'information learned', 'understand', 'learn', 'experiment learned', 'just', 'able']","['experiment presentation', 'study reflection', 'post study', 'presentation information', 'learned study', 'experiment learned', 'did experiment', 'experiment did', 'experiment', 'participation']","['learned', 'information learned', 'learn', 'experiment learned', 'post study', 'understanding', 'study did', 'study', 'reflection', 'presentation information']","['lot', 'better', 'able', 'information', 'experiment', 'certain', 'purpose', 'good', 'step', 'understanding']","['I feel at every step I gained a little more information and had a better understanding of the experiment then I did in the step before. Participation- I really didn\'t understand what the purpose was of it but just answering the ""questions"". Post-Study- It made me start to think about what the purpose was, the different variables, and etc. Extended Abstract- Gave me tons of new information and I truly understood what exactly they were trying to find out. Presentation- Expanded more on what the abstract had already said.', ""Throughout this process, I gained different information through completing each step. In the experiment, I felt a little lost in what the experiment was aiming to find out. Through the reflection, I was able to consider my own feelings on the experiment and reflect on the information presented. Then, the abstract gave me a lot more context into the parts of the experiment I didn't understand, like the purpose, methods, and just the workings of the experiment as a whole. The presentation gave a deeper look into the concept of 3D graphs, the design of the experiment, and the results."", 'The information I gained from this project varied throughout each component. During the particpation level, I just learned the very basics of the experiement, and what I would be doing to participate in it, it was just very ""baseline"" information. It told me the basics of the experiment, and I was able to connect the infromation, experiment style, and how it related to what we learned about experiments. I was able to transfer this information I learned in the particpation component into the post-study reflection. In this component I was able to dive deeper into what we learned in class so far, and directly relate it to what I learned in the experiement. I did not learn much more about the experiment in this part but I did get to review the information. In the extended abstract I learned so much more information about the experiment, the ""why"" and ""what"". I learned what they plan on doing with the results, and how much further they plan to go with the experiment. I also learned why they chose certain graphs. This part told us so much more than just the basic outline of the experiment. The presentation allowed us to hear directly from the experimenter, and learn more about their interests in the experiments and explanations as to why certain methods were chosen.']",learned - did - lot - better - information learned - understand - learn - experiment learned - just - able,0.1329797056844091,False
"During the participation and post-study reflection, I was confused because I still didn't know the purpose of the experiment. Now after watching the presentation and reading the extended abstract, I am less confused about how reading different types of graphs can change how you perceive the graph.",0,0_3d_2d_graphs_graph,"['3d', '2d', 'graphs', 'graph', '3d graphs', 'charts', 'printed', 'perception', 'accurate', 'bar']","['3d charts', '3d graphs', 'bar charts', '3d graph', '2d graphs', 'graphs different', 'graphs', 'bar chart', 'graph 3d', 'graph']","['3d', '3d graphs', 'perception', '2d graphs', '3d printed', '2d 3d', 'data', 'graphics', 'models', 'accuracy']","['3d', '2d', 'graphs', 'graph', 'charts', 'perception', 'accurate', 'bar', 'data', 'thought']","[""Participation in the project involves actively collaborating with team members, sharing insights, and contributing to the project's development. Post-study reflection entails reviewing personal learning experiences and identifying areas for growth or improvement. An extended abstract provides a succinct summary of the project's objectives, methods, and findings for a broader audience. The presentation distills the project into a visually engaging format, highlighting key points and outcomes. Regarding 2D vs. 3D graphs, 2D graphs represent data along two axes, suitable for visualizing relationships between two variables. In contrast, 3D graphs add an extra dimension, often depth or color, enabling the visualization of relationships between three variables, providing a more comprehensive view but potentially being more challenging to interpret."", 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).', 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).']",3d - 2d - graphs - graph - 3d graphs - charts - printed - perception - accurate - bar,1.0,False
"Each one had a different way of getting you to understand the study and what it was trying to convey. The abstract was more wordage to tell you what it was about, participation was to actually do the study, presentation was to see a more visual explanation and the reflection helped to look back on what it was really about.",5,5_participation_allowed_nice_times,"['participation', 'allowed', 'nice', 'times', 'different', 'gave', 'abstract', 'detailed', 'did', 'abstract presentation']","['abstract participation', 'study presentation', 'abstract presentation', 'presentation abstract', 'study reflection', 'understand study', 'participation', 'understand results', 'presentation gave', 'participation actually']","['participation', 'gave', 'abstract presentation', 'gained participation', 'presentation abstract', 'understand results', 'presentation', 'learning', 'extended abstract', 'helped understand']","['participation', 'nice', 'times', 'different', 'abstract', 'detailed', 'hands', 'larger', 'purpose', 'presentation']","['They all differ, because each time we got a little more information than we did before. When we did the participation we were given minimal information, then we just talked about our thoughts on it unsure fully what the experiment was testing. Once we read the abstract we were able to get information about the purpose of the study and what it was testing and how. Once we watched the presentation it summarized everything, along with giving more detailed background.', ""It's hard to say because the project was long. But I feel like from participation, I was able to see hands-on how participants do the task in the experiment, and how the experiment is presented to them. I also think that the post-study reflection allowed me to reflect on the project afterwards. The extended abstract gave a longer explanation of the purpose of the study, and the presentation was similar but it was an audio and slides version of explaining the project."", 'each gave no insight or rather a new lense of how to look or go about something. each was important and different. the presentation gave background information, the participation allowed me to try and get hand on, the post study reflection helped reflect on what i really just did and the exteded abstract showed what someone elses thought process might look like.']",participation - allowed - nice - times - different - gave - abstract - detailed - did - abstract presentation,0.22139997428644634,False
I didn’t know all of the graphs had a specific ratio. I also didn’t realize there were two research questions that were being tested.,0,0_3d_2d_graphs_graph,"['3d', '2d', 'graphs', 'graph', '3d graphs', 'charts', 'printed', 'perception', 'accurate', 'bar']","['3d charts', '3d graphs', 'bar charts', '3d graph', '2d graphs', 'graphs different', 'graphs', 'bar chart', 'graph 3d', 'graph']","['3d', '3d graphs', 'perception', '2d graphs', '3d printed', '2d 3d', 'data', 'graphics', 'models', 'accuracy']","['3d', '2d', 'graphs', 'graph', 'charts', 'perception', 'accurate', 'bar', 'data', 'thought']","[""Participation in the project involves actively collaborating with team members, sharing insights, and contributing to the project's development. Post-study reflection entails reviewing personal learning experiences and identifying areas for growth or improvement. An extended abstract provides a succinct summary of the project's objectives, methods, and findings for a broader audience. The presentation distills the project into a visually engaging format, highlighting key points and outcomes. Regarding 2D vs. 3D graphs, 2D graphs represent data along two axes, suitable for visualizing relationships between two variables. In contrast, 3D graphs add an extra dimension, often depth or color, enabling the visualization of relationships between three variables, providing a more comprehensive view but potentially being more challenging to interpret."", 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).', 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).']",3d - 2d - graphs - graph - 3d graphs - charts - printed - perception - accurate - bar,0.721765384149643,False
"The information that I gained from the components of this project differs when looking at participation and post-study reflection. With both of these I think I was clueless about the study going into it and now that it is over I see the what and why. I also think that the extended abstract and the presentation differ because the way that the experiment was presented to us seemed very simple, yet the abstract of the behind the scenes was much more complicated I think.",4,4_components_gained components_components project_project,"['components', 'gained components', 'components project', 'project', 'information gained', 'differed', 'gained', 'components differed', 'project differed', 'differ']","['project differed', 'project differ', 'differed participation', 'project different', 'components differed', 'presentation different', 'project components', 'abstract participation', 'example participation', 'differed data']","['gained components', 'differed', 'components differed', 'project differed', 'project components', 'project differ', 'different information', 'tested information', 'differed data', 'example participation']","['components', 'project', 'information', 'class', 'parts', 'rest', 'example', 'different information', 'available', 'unique ratios']","['The information I gained from the components of this project differed by slowly revealing more about what the study was about and why we were participating in it. At first we were given hardly any information, just told that we were going to participate in a study. Then as I began to go through the components like actually doing the study, then reading the abstract and watching the presentation made it clear what this study was about and the type of information the researchers wanted to gather from it.', 'The information I gained from the components differ in the way that they were given. For example, the participation was in-person while the rest of the components were virtual. Furthermore, every component of the project had different expectations; most of the components had some sort of written part but whether or not the participants had to watch some sort of media to complete the questions is an example of how they differed.', 'The information I gained rom the components of this project differ in a couple of different ways. For example; when I was a participant in the study I was a little bit confused on what the experiment was observing, but after I read the extended abstract and watched the presentation I was keyed in a lot more about the background of this study. I also felt that the post-experiment reflection and the extended abstract differs because the abstract gives you the details and the reflections asks you to inturpert those details.']",components - gained components - components project - project - information gained - differed - gained - components differed - project differed - differ,0.5764281882052301,False
"I felt when I was participating, I wasn't exactly sure what was being tested. As I completed the post-study reflection, and watched the presentation reflection, I got a better idea. At first, I thought the experimenters were testing to see if 3D models gave a more accurate result, but after watching the presentation I now know they were testing to see if 2D models have more accurate results.",0,0_3d_2d_graphs_graph,"['3d', '2d', 'graphs', 'graph', '3d graphs', 'charts', 'printed', 'perception', 'accurate', 'bar']","['3d charts', '3d graphs', 'bar charts', '3d graph', '2d graphs', 'graphs different', 'graphs', 'bar chart', 'graph 3d', 'graph']","['3d', '3d graphs', 'perception', '2d graphs', '3d printed', '2d 3d', 'data', 'graphics', 'models', 'accuracy']","['3d', '2d', 'graphs', 'graph', 'charts', 'perception', 'accurate', 'bar', 'data', 'thought']","[""Participation in the project involves actively collaborating with team members, sharing insights, and contributing to the project's development. Post-study reflection entails reviewing personal learning experiences and identifying areas for growth or improvement. An extended abstract provides a succinct summary of the project's objectives, methods, and findings for a broader audience. The presentation distills the project into a visually engaging format, highlighting key points and outcomes. Regarding 2D vs. 3D graphs, 2D graphs represent data along two axes, suitable for visualizing relationships between two variables. In contrast, 3D graphs add an extra dimension, often depth or color, enabling the visualization of relationships between three variables, providing a more comprehensive view but potentially being more challenging to interpret."", 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).', 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).']",3d - 2d - graphs - graph - 3d graphs - charts - printed - perception - accurate - bar,0.08053630188743352,False
"When hearing about all the background information and why the researchers did what they did for specific purposes it was interesting to see how taking a quiz about different block sizes, the researchers were looking at it from a deeper perspective. Another thing that surprised me were about the specific equations given for the experiment and how it related back to the 3D graphs.",0,0_3d_2d_graphs_graph,"['3d', '2d', 'graphs', 'graph', '3d graphs', 'charts', 'printed', 'perception', 'accurate', 'bar']","['3d charts', '3d graphs', 'bar charts', '3d graph', '2d graphs', 'graphs different', 'graphs', 'bar chart', 'graph 3d', 'graph']","['3d', '3d graphs', 'perception', '2d graphs', '3d printed', '2d 3d', 'data', 'graphics', 'models', 'accuracy']","['3d', '2d', 'graphs', 'graph', 'charts', 'perception', 'accurate', 'bar', 'data', 'thought']","[""Participation in the project involves actively collaborating with team members, sharing insights, and contributing to the project's development. Post-study reflection entails reviewing personal learning experiences and identifying areas for growth or improvement. An extended abstract provides a succinct summary of the project's objectives, methods, and findings for a broader audience. The presentation distills the project into a visually engaging format, highlighting key points and outcomes. Regarding 2D vs. 3D graphs, 2D graphs represent data along two axes, suitable for visualizing relationships between two variables. In contrast, 3D graphs add an extra dimension, often depth or color, enabling the visualization of relationships between three variables, providing a more comprehensive view but potentially being more challenging to interpret."", 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).', 'The information I gained from the various different components of the project, participation vs abstract for example differed since the participation was simply inputting\xa0 my perception of the 3D bar chart vs 2D bar chart data whereas reading more the abstract I learnt in more detail the goals behind conducting the study such as able to extend our study into the curriculum of an introductory statistics course in order to have the results of the study extend into further 3D printed graphics research in order to more accruately convey data (and to help assist in data graphic for the visually impaired as well).']",3d - 2d - graphs - graph - 3d graphs - charts - printed - perception - accurate - bar,0.15552135334815287,False
The information that I gained from the components of this project because I as not entirely sure what was going on when participating in the experiment itself. As I did the other pieces of work after the experiment it made more sense to me what was being evaluated. I found more information from the post study reflection and the extended abstract that the participation.,4,4_components_gained components_components project_project,"['components', 'gained components', 'components project', 'project', 'information gained', 'differed', 'gained', 'components differed', 'project differed', 'differ']","['project differed', 'project differ', 'differed participation', 'project different', 'components differed', 'presentation different', 'project components', 'abstract participation', 'example participation', 'differed data']","['gained components', 'differed', 'components differed', 'project differed', 'project components', 'project differ', 'different information', 'tested information', 'differed data', 'example participation']","['components', 'project', 'information', 'class', 'parts', 'rest', 'example', 'different information', 'available', 'unique ratios']","['The information I gained from the components of this project differed by slowly revealing more about what the study was about and why we were participating in it. At first we were given hardly any information, just told that we were going to participate in a study. Then as I began to go through the components like actually doing the study, then reading the abstract and watching the presentation made it clear what this study was about and the type of information the researchers wanted to gather from it.', 'The information I gained from the components differ in the way that they were given. For example, the participation was in-person while the rest of the components were virtual. Furthermore, every component of the project had different expectations; most of the components had some sort of written part but whether or not the participants had to watch some sort of media to complete the questions is an example of how they differed.', 'The information I gained rom the components of this project differ in a couple of different ways. For example; when I was a participant in the study I was a little bit confused on what the experiment was observing, but after I read the extended abstract and watched the presentation I was keyed in a lot more about the background of this study. I also felt that the post-experiment reflection and the extended abstract differs because the abstract gives you the details and the reflections asks you to inturpert those details.']",components - gained components - components project - project - information gained - differed - gained - components differed - project differed - differ,0.1382987941468034,False
"To start, participating in the experiment left me a bit confused simply because I was there to do something, not necessarily knowing the background to it. The post-study reflection made me sit down and think about what was going on behind the scenes. The extended abstract gave me a breakdown of what the experiment was about, why they did it, and how they did it. Lastly, the presentation gave me the study's results.",2,2_study reflection_post study_post_reflection,"['study reflection', 'post study', 'post', 'reflection', 'participant', 'extended abstract', 'extended', 'design', 'conclusion', 'study']","['study design', 'participant study', 'study implications', 'post study', 'abstract presentation', 'experiment participation', 'abstract participation', 'study reflection', 'abstract gave', 'study extended']","['study reflection', 'post study', 'extended abstract', 'conclusion', 'abstract', 'abstract presentation', 'experiment', 'abstract participation', 'participant study', 'study design']","['study reflection', 'post', 'reflection', 'participant', 'extended abstract', 'extended', 'design', 'conclusion', 'study', 'test']","['The participation piece came first so I did not fully understand the goal of this study and what exactly I was supposed to be doing. This was the hands on piece where I got to participate in it. The post experiment reflection related more towards what we are learning in class and if we can identify the components of the experiment. the extended abstract and presentation both gave an overall on the experiment. the abstract is a more formal way of presenting the experiment, the intro, abstract, methods, study design, etc while I feel like the presentation took a deeper dive into how they created the bar graphs and recreated the previous experiment from Cleveland and McGill.', 'As a participant in the study, I has gained firsthand experience of the research process, seeing how data was collected and how the experiment was structured. During the post-study reflection portion, I thought critically about the study design, its goals, and the conclusions, as well as developing a hypothesis on what this project could have been aiming towards figuring out. During the extended abstract portion, I was able to get an even better view of the research process, and what plans were made to reach a conclusion, and while watching this presentation, it was a chance for me\xa0 to see a researcher communicate findings and insights to in the study, making the results even more accessible and engaging. Each component offered a different perspective on the study, and each component offered a different perspective on the study.', 'The information gained from the active participation:\n\nWas difficult to comprehend while it was happening. I would currently say the results are still cloudy, but seem to be gradually improving. Through the extended abstract, I would hypothesize that\n\nThe information gained from post study reflection:\n\nThe one thing that is quantifiable from this test is how much stress a human being can take at one time. I can attest in terms of numbers in blood pressure and counted time put into the experiment. I would currently say that I feel like things are about to turn around 360 degrees. In terms of my grade percentages through this statistical experiment.\n\nInformation gained from extended abstract:\n\nMore questions for the experimenter than information gained for my own memory.']",study reflection - post study - post - reflection - participant - extended abstract - extended - design - conclusion - study,0.23623826480810878,False
