Topic,Count,Name,Representation,KeyBERT,MMR,POS,Representative_Docs
-1,107,-1_bar_charts_people_graphs,"['bar', 'charts', 'people', 'graphs', 'bar charts', 'printed', 'different', 'results', '3d', 'using']","['3d graphs', 'bar charts', 'bar graph', 'graphs', 'charts', 'digital 3d', '3d', 'graph', 'bar sizes', '3d 3d']","['charts', 'people', 'graphs', 'bar charts', 'printed', '3d', 'reading', 'graph', 'data', 'experiment']","['bar', 'charts', 'people', 'graphs', 'different', 'results', '3d', 'clear', 'study', '2d']","[""After reading the abstract and methods, several components of the experiment are clearer now than when I was just a participant. I understand that the experiment is not only about comparing 2D and 3D digital graphs, but also includes 3D printed bar charts to examine perceptual judgments in a tangible, physical environment. The process for replicating Cleveland and McGill’s study and the use of specific bar height ratios is much more transparent, as is the random assignment of graph types and comparisons. However, I still have questions for the experimenter: How were the particular bar ratios chosen for each participant, and did the order of presenting 2D, 3D digital, and 3D printed charts affect participants’ judgments? Additionally, I wonder if participants' prior experience with interpreting graphs influenced their results, and whether this was accounted for in the analysis."", ""It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either?"", ""As a participant, the overall structure and purpose of the experiment were less clear, especially regarding how the different types of graphs were designed and used for comparison. After reading the abstract, it's now clear how the study systematically replicated and extended the Cleveland and McGill experiment using 2D, digital, 3D, and 3D printed bar charts. The method for generating graph values and the reasoning behind design choices like the use of symbols and colored filament make more sense now. One question I still have is how much physical interaction with the 3D printed charts influenced accuracy compared to digital 3D charts. I'm also curious about how the researchers controlled for bias due to color or texture differences in the 3D printed materials.""]"
0,71,0_experiment_doing_questions_clearer,"['experiment', 'doing', 'questions', 'clearer', 'variables', 'study', 'like', 'abstract', 'methods', 'understand']","['understand experiment', 'experiment clearer', 'overall experiment', 'study design', 'purpose experiment', 'reading abstract', 'previous experiment', 'research implications', 'results study', 'abstract']","['experiment', 'variables', 'abstract', 'design', 'purpose', 'methods used', 'experimenter', 'participant', 'study design', 'reading extended']","['experiment', 'questions', 'clearer', 'variables', 'study', 'abstract', 'methods', 'design', 'results', 'overall']","[""The background of the experiment is much clearer it is interesting that the researchers were inspired by a previous experiment and expanded on those findings. I had an idea of what they were probably trying to find out, but the abstract makes the study's goals clear. Since I took the test online it was nice to see what the 3D models looked like. The abstract also did a good job of quickly covering the process that went into designing the experiment and models. Since it was an abstract they did not fully discuss the findings but I would be curious about the findings of the student expirements that they were planning to do and I participated in."", ""As a participant, the purpose and structure of the experiment may have felt unclear or even confusing, especially if information was withheld to maintain objectivity. Reflecting on the abstract now, it's clearer how the variables were controlled, what the researchers were measuring, and what hypotheses they were testing. Understanding the broader context of the experiment also helps make sense of why certain tasks or conditions were included. However, questions remain about specific decisions the experimenter made such as why particular stimuli were chosen or how certain measurements were interpreted. It would be helpful to ask the experimenter for more insight into the reasoning behind the design and how potential biases were addressed."", 'After reading the extended abstract, I got more insight of the experiment, and each step by step and the experimenters process throughout administering the experiment. I also got more insight on the experimenters limitations throughout the experiment, and some adjustments that had to be made throughout the experiment. I also learned how they want to further investigate this experiment in the future, and their future goals of the experiment. However, I do still have a few questions for the experiment. How did they choose the study design that they did? Would choosing a different study design, or doing a random sample of a larger population than just the stats course change the experiment greatly? How many more times would they like to repeat this experiment, and with how many stats courses?\n\nOverall, reading the abstract gave me more insight on the experiment, and the experimenters thought process which was beneficial to read about after being an participant. They discussed specific details of the experiment, including the replication process, and specific details like the ratios and the process behind designing the graphics. Overall, this experiment still has many more steps to complete in order to conclude the experiment, and in order to release the conclusion of the experiment.']"
1,51,1_graph_3d graphs_2d_graphs,"['graph', '3d graphs', '2d', 'graphs', 'chart', '3d', 'difference', '3d charts', 'charts', '2d graphs']","['3d charts', '3d graphs', '3d chart', '3d vs', '3d graph', 'data 3d', '3d', '3d graphics', 'worse 3d', '3d objects']","['3d graphs', 'graphs', '3d charts', '2d graphs', 'difference 2d', '2d 3d', '3d graph', 'perception', '3d bar', 'bar charts']","['graph', '2d', 'graphs', 'chart', '3d', 'difference', 'charts', 'data', 'bar', 'effective']","['The exact purpose of this experiment, to determine how visual depth impacts the interpretation of 3D versus 2D representations, is a little clearer now. It is also clearer that there was a pattern for the layout of the graphs, so that each participants is tested on a similar ratio across the 3 types of charts. While actively participating in the study, it was hard to see the similarities in the proportions across the chart types. I would like to know if the researchers believe that there has been a change in human perception since the original McGill study that would make 3D charts more effective now. At the end of the abstract, it is mentioned that the current opinion on 3D graphs is ""slightly misguided"", and I would like to hear an elaboration on why they feel this.', ""What is clearer now is that the experiment was conducted to research the display (2D vs. 3D vs. 3D printed), rather than study the participants. I had speculations that researchers wanted to find the most visually effective display, as it is very desired information in the realm of business for marketing purposes. I also pondered if they hoped to find correlation between age and accuracy on the graph, to perhaps find peak sharpness among college students and young professionals versus other demographics. However, it was not the experiment's purpose and would be a correlation found unintentionally. One question I have is if there is any instance where a 3D graph depicting data would be more useful than a 2D graph in a real world setting, as 2D is easier to perceive and the extra dimension in 3D just seems unnecessary."", ""It's much clearer to me now that the researchers are determing if/to what extent 3D graphs limit visual interpretation when compared to 2D graphs. As a participant, I imagined that this study had something to do with the color/style of the chart, but I wasn't sure if it was based mostly on depth perception. I could be remembering this incorrectly, but I thought that I was also shown both 2D and 3D graphs of different colors during the study. I wonder if specific colors make analyzing 3D objects a bit easier or harder - could this affect the outcome of the study? I also have to wonder about the differences in results from students that particpated in the online version of the study compared to the in-person study with real models - is it possible that students are better able to analyze 3D data in person compared to on a computer screen?""]"
2,46,2_models_depth_objects_2d,"['models', 'depth', 'objects', '2d', 'depth perception', 'blocks', '3d models', 'experiment', '3d objects', '3d visuals']","['depth perception', 'visual depth', 'affect depth', 'purpose experiment', 'understanding experiment', '3d visuals', 'perception', 'underlying vision', 'participant research', 'participants affect']","['depth', 'depth perception', '3d models', 'experiment', '3d objects', '3d visuals', '2d models', 'perception', '2d 3d', 'reading']","['models', 'depth', 'objects', '2d', 'depth perception', 'blocks', 'experiment', 'perception', 'sense', 'interesting']","['After reading the abstract, it is now much clearer what the purpose of the experiment was. I originally thought that the main purpose of the experiment was to just determine if there was a difference between data perceptions in 2D vs. 3D media, but I feel that the abstract makes it clear that the main purpose of the experiment is to determine how participants judge the data based on the visual depth available to them. A few questions that I still have for the experimenter are ""what are the implications of the findings?"" and ""how can these results be applied to real world scenarios?"" I enjoyed reading this abstract and its findings after being a participant in the experiment, as it allowed me to put the pieces together for what I was participating for. The abstract did a good job at addressing the experimental design and how this may be applied for future research which was interesting.', ""When I first took part in the experiment, I didn't know why there was both an online and physcial component to the study, in terms of analying 2D and 3D digital models as well as a 3D physical model. But knowing that the experient's focus was to look at how the perceptual accuracy of the participant is impacted by depth perception and and the presentation of the media, this instantly makes more sense. However, I still do wonder if the researchers crontrolled for the participant's research bias, or if they considered underlying vision issues in participants that can affect their depth perception. As someone pursuing a career in eyecare, this is very interesting to me."", ""When I first took part in the experiment, I didn't know why there was both an online and physcial component to the study, in terms of analying 2D and 3D digital models as well as a 3D physical model. But knowing that the experient's focus was to look at how the perceptual accuracy of the participant is impacted by depth perception and and the presentation of the media, this instantly makes more sense. However, I still do wonder if the researchers crontrolled for the participant's research bias, or if they considered underlying vision issues in participants that can affect their depth perception. As someone pursuing a career in eyecare, this is very interesting to me.""]"
3,42,3_charts_bar_heights_3d printed,"['charts', 'bar', 'heights', '3d printed', 'printed', 'bar heights', 'printed charts', '2d 3d', 'digital', '3d']","['3d charts', 'bar charts', 'clearer experiment', 'bar graphs', '2d charts', 'charts 2d', 'printed charts', 'compared 2d', 'perceptual accuracy', 'charts say']","['charts', '3d printed', 'bar heights', 'printed charts', '2d 3d', 'ratios', 'height', 'participants', 'bar graphs', '3d digital']","['charts', 'bar', 'heights', 'digital', '3d', '2d', 'ratios', 'height', 'abstract', 'participants']","[""Reflecting on the abstract, it’s now much clearer that the experiment's main goal was to test how accurately people can judge ratios from 3D printed bar charts compared to 2D charts, with a focus on depth perception challenges. As a participant, it wasn’t immediately obvious that the study was replicating and expanding on Cleveland and McGill’s original research. One lingering question I still have is how exactly the researchers controlled for individual differences in participants' interpretation of depth and size — did they account for things like visual acuity or prior experience with 3D charts? Another thing I'm curious about is whether participants' familiarity with 3D objects in daily life influenced their results."", 'After reading the abstract, it is much clearer what the purpose of the experiment was: to compare how well people can interpret data from 2D charts, 3D digital charts, and 3D printed bar charts. The abstract also clarifies that previous studies mostly looked at 3D charts as 2D projections, while this study actually used physical 3D printed graphs, which is an innovative extension. As a participant, it may not have been obvious that the experiment was replicating and building on the work of Cleveland and McGill, or that the main goal was to evaluate perceptual accuracy across different mediums.\nQuestions I still have for the experimenter include: How were the specific bar heights and ratios chosen for each participant? Was there any feedback provided after the experiment to explain the correct answers or purpose? Also, I wonder if the results differ significantly between the 3D digital and 3D printed charts, and what those differences might suggest.', ""After reading the abstract I was able to understand the purpose of the study a lot more. I now understand that the point of the study was to compare the effectiveness of 3D printed charts compared to 2D rendered and 3D digital charts. We were testing perceptual judgments of bar heights. I now understand better now the reason for using a log scale for bar heights and the constraints in creating the bar height ratios.\xa0\n\nI don't have many questions about the experiment. One question I might have is why beta distribution was used to generate graph heights of the non-comparison bars? Another question would be what specific limitations there were when matching the 3D charts to the 2D charts?\n\nI would say that the abstract effectively highlighted the main issue of depth perception with using 2D rendering of 3D data visuals and set up a clear comparison between 2D, 3D digital, and 3D printed bar charts. It did an adequate job at explaining the study's goal in evaluating the effectiveness of 3D printed charts in conveying data compared to 2D and digital 3D charts. There was a lot of emphasis on replicating and extending the previous research. Overall, the abstract is well-structured and informative, it gives the reader a good understanding of the research done and the purpose of the research.""]"
4,42,4_graphs_2d graphs_3d graphs_different,"['graphs', '2d graphs', '3d graphs', 'different', 'kit', 'types graphs', 'people', 'able', 'computer', 'value']","['experiment graphs', 'experiment clearer', 'reading graphs', 'read graphs', '3d graphs', 'digital graphs', 'graphs compared', 'purpose experiment', 'graphs accurate', 'different graphs']","['graphs', '2d graphs', '3d graphs', 'kit', 'types graphs', 'different types', '2d', 'different graphs', 'testing', 'graphs accurate']","['graphs', 'different', 'kit', 'people', 'able', 'computer', 'value', 'experiment', 'graph', 'physical']","[""When participating in the experiment, I honestly didn't notice that some of the digital graphs were 3D and some were 2D, and had no clue why some were physical, so knowing the objective of the experiment makes what I was doing make a lot more sense to me. I don't understand why that type of coloring was chosen for the physical 3D graphs, as I would think that making them as visually similar as possible, minus the digitality or dimensionality, would have eliminated a potentially confounding variable. I also wonder why log error was used to measure responses, as I have not seen that used before."", ""Now that I've read the abstract, I understand the point of the questions much more clearly than before. I had guessed that the experiment had something to do with graph literacy, but I didn't realize they were testing 2D graphs against 3D graphs. I also think the other research they mentioned in the abstract helped me understand more of the reasoning behind why the questions looked the way they did. Since participating in the experiment was a while ago at this point, the thing I am confused about the most is that the abstract made it seem like there were only twenty questions, but I feel like there were more than that. I'm not sure if I was just misinterpreting the information about the possible ratios or misremembering my participation, but either way, it is not a big issue."", 'After reading the extended abstract, I have a better understanding of what actually was being tested and why. From my understanding, the purpose of this experiment was to extend/replicate results from Cleveland and McGill. The study replicates the procedure from the previous study however, they wanted to measure/observe the differences between 2D graphs, 3D digital graphs, and 3D printed graphs. There also appears to be random assignment within the experiment as the graphs and questions were presented in random order; I was initially unsure if questions were randomized or if each participant was given the same questions at the same time. I am curious to see the results of the study and how they were able to measure their collected data.']"
5,40,5_visualization_perceptual_judgments_3d printed,"['visualization', 'perceptual', 'judgments', '3d printed', 'printed', 'data visualization', 'charts', 'printed bar', 'aims', 'effectiveness']","['bar charts', 'charts compared', 'chart types', 'visualization practices', 'effectiveness 3d', 'printed charts', '3d data', 'printed graphs', 'research 3d', 'charts']","['visualization', '3d printed', 'effectiveness', 'bar charts', 'perceptual judgments', 'data', '3d', 'design', 'printed charts', 'charts compared']","['visualization', 'perceptual', 'judgments', 'charts', 'effectiveness', 'perceptual judgments', 'data', 'potential', 'bar', 'digital']","[""As a subject in the study, I did not know why 2D, 3D digital, and 3D printed bar charts were being compared, but reading the abstract clarifies that the goal was to assess perceptual accuracy across visualization mediums. Copying the study of Cleveland and McGill and accounting for variables like spacing between bars and color coding in depth now all make sense. I now see how important visual depth and physical manipulation of data are to perception. However, I still wonder to what degree participants' knowledge of charts or spatial reasoning skills affected the outcome. I'd like to question the experimenter, too, whether they noticed any trends in preference or confidence level by chart type."", ""The abstract provides a clear overview of the study's objective, which is to evaluate the effectiveness of 3D printed bar charts compared to their 2D rendered counterparts in conveying data. The study aims to replicate and modernize the position-length experiment by Cleveland and McGill (1984), extending it to different mediums of data visualization, including 3D printed graphs. The abstract effectively outlines the research gap, the importance of the study, and the methodology employed.\n\nAfter reading the details of the experiment, the components are now clearer, particularly the methods used to replicate Cleveland and McGill's study and the design of the graphics for the different chart types.\n\nHowever, some questions remain about the specifics of the perceptual judgments and the criteria for evaluating the effectiveness of the different chart types. It would be helpful to know more about the results obtained and their implications for data visualization practices.\n\nOverall, the study seems well-structured and rigorous, addressing an important gap in existing research on 3D data visualization. The abstract sets the stage for an interesting and valuable contribution to the field of data visualization, offering insights into the relative effectiveness of 3D printed bar charts compared to traditional 2D charts."", ""I now understand more clearly the study's focus on comparing the effectiveness of 2D graphs, 3D digital graphs, and 3D printed bar charts in conveying numeric information, which was likely less apparent as a participant tasked with making quick perceptual judgments. The abstract highlights the replication of Cleveland and McGill’s position-length experiment and the extension to 3D printed mediums, which clarifies the experimental design's intent to test perceptual accuracy across different visualization formats. However as a participant, I might still have questions for the experimenter, such as how the specific bar height ratios were chosen and whether the interactive angle adjustments in the 3D digital graphs significantly impacted my ratio judgments. Additionally, I’d be curious about the rationale behind using colored filament for 3D printed graphs and whether it influenced my perception despite being randomized. Lastly, I’d ask how the study accounted for potential tactile biases when handling 3D printed charts, as this could have subtly affected my responses.""]"
6,36,6_graphs_know_responses_just,"['graphs', 'know', 'responses', 'just', 'clearer participant', 'experiment', 'components', 'abstract', 'clearer', 'responses measured']","['experiment clearer', 'reading graphs', 'measured graphs', 'responses measured', 'data analysis', 'know experiment', 'study graphs', 'experiment', 'question experimenter', 'clearer participant']","['clearer participant', 'abstract', 'clearer', 'responses measured', 'graph', 'components clearer', 'experimenter', 'interpret', 'experiment clearer', 'sense']","['graphs', 'responses', 'experiment', 'components', 'abstract', 'clearer', 'question', 'participant', 'people', 'graph']","[""What is clearer now than it was when I was a participant was the specific details that happened in the background that you wouldn't think about. An example of this is when the abstract talked about how Cleveland and McGill did not specify the random process for generating the remaining bars in the bar charts, so they were generated from a scaled beta distribution with parameters that limit the amount of obsessive noise around the bars used for comparison. Another example I found was all the equations that went into the experiment to measure results and how they planned to place everything in a specific way and spot. A question that I still have for the experimenter is why not use 3D shapes for the whole experiment. I know the 3D and 2D were strategically placed in the experiment but why wouldn't you just focus on one for the whole experiment, and then run another one but with the 3D. Then take a look at both of those test results."", ""It makes more sense about how close our guesses were to the actual ratio of what the graph was trying to tell us. I think after reading this I have more of an appreciation for how the numbers and accuracy is conducted in the experiment. Seeing the use of logs to help the use of significant digs for the accuracy ratio, it makes more sense about why there were so many questions regarding our estimation. The math makes sense. Let's say i guessed 95% and the correct answer was 89%, this would state that my guess was in the area of 2% off, I think. Based off my calculations my answer would be like 1.93 ish. Even if that isn't fully correct, it would state that my guess was a bit off from the actual value which makes a lot of sense. The only question I would have is whether or not there is a simpler way to calculate the difference in guess values? Think it would be easy to say that I am 6% off. But is it completely necessary to do more math to find the difference in values? That being said it makes more sense. My brain isn't math savvy all the time so a ton of things escape me in the abstract, but I hope this makes some sense where I am coming from."", 'As a participant I just understood the basic guidelines of the experiment including the hypothesis, and how they were going to conduct the experiment. After reading the abstract there are several components that are clearer than they were when I was just a participant. I understand exactly how they designed the graphs involved in the experiment, and why the specific graph designs were chosen. I also learned they plan on continuing this experiment and collecting data, and this was not the last experiment they will conduct. I also now know that the responses will be measured ""by log of error"" between the two different distances. Also it is now perfectly clear that all participants received two questions along with the bar graphs. All of these pieces of information were not known or clear to me when I was just participating in the experiment.\xa0\n\nA question I still have for the experimenter is, would they extend the experiment beyond statistics students for their participants? Would it create more bias in the experiment? I also wonder how the algorithm randomly assigns graphs, I know that there is no specific way they randomize it as stated in the abstract but I am curious how it works overall and how consistent and accurate it is?\n\nThe abstract was very clear, and informational on the experiment. The abstract explained the two methods for 2D and 3D, and how they are used in the experiment. The abstract explained how the values for bar heights and values are determined. The limitations in the data, including bias, prior knowledge of graphs, were mentioned and the abstract explained that they account for these limitations in the study design of the graphs, The abstract also went into more detail about how this data will continue to grow in the \xa0future, and what they plan on doing in the future with thee data.']"
7,20,7_models_online_printed_3d models,"['models', 'online', 'printed', '3d models', 'shape', 'printed 3d', 'model', '3d printed', 'compared online', 'image']","['printed 3d', 'study 3d', '3d models', '3d', 'printed charts', 'printed graph', '3d printed', '3d image', 'printed model', '3d printers']","['3d models', 'shape', 'printed 3d', '3d printed', 'compared online', 'printed model', 'accurate participant', 'looking models', 'pictures confused', 'graphs goal']","['models', 'online', 'shape', 'model', 'image', 'ones', '3d', 'graphs', 'confused', 'accurate']","['I now understand the difference between the 2D, digital 3D, and printed 3D by watching the videos and experiencing reading all of the different types of graphs. the goal of this experiment is also clearer. I think some questions I have for the experimenter would be, if we made the 2D, digital 3D, and printed 3D all the same graph would people read it differently just because of the difference in the types of graphs. Since the goal of the experiment is to see if 3D models make it easier to read, I think that the experimenter could use a variety of 3D models to see which kinds of 3D models make it the easiest for people to read.', 'As a participant, I was initially unclear how the graphs were specifically constructed and what measures were taken to have consistency in 2D, 3D digital, and 3D printed output. Having read this article, I better know the process of design. It’s also clearer now how carefully scaling and visual presentation were handled across mediums. Something I would ask the experimenter is how variability was controlled in a participants perception through physical manipulation of the 3D printed charts. I would also love it if they could say how color assignment for printed graphs was randomized and whether it had any unconscious effect on perception.', 'Is clear to me that the different dimension of the 3D shape could be accurate or not depending on the way is presented. It was hard for me to see the differences between the shape after doing both the digital shape and the physical one. 3D printed shape were a lot more hard to do the numerical comparison.I think the experiment was to compare the accuracy depending on the different graph that were shown to analyze. The question I have now is about on the accuracy of the participants that were asked to estimate each graphs. Were they accurate to the right answer? Does the result of each participant support the study of 3D printed charts being more accurate? As being a participant, I think the digital one was more hard to guess the accuracy then the printed version.']"
8,20,8_bars_heights_claim_supposed,"['bars', 'heights', 'claim', 'supposed', 'different heights', 'clearer', 'reasoning', 'successful', 'bars supposed', 'refute']","['experiment clearer', 'purpose experiment', 'mattered experiment', 'fascinating experiment', 'participate experiment', 'experiment', 'fun experiment', 'questions experimenter', 'heights bars', 'percentages smaller']","['different heights', 'experiment', 'questions experimenter', 'experiment clearer', 'multiple mediums', 'heights bars', 'purpose experiment', 'participate experiment', 'replicate', 'factor']","['bars', 'heights', 'claim', 'different heights', 'clearer', 'reasoning', 'successful', 'experiment', 'multiple mediums', 'spouses']","['The component of the color corresponding to the height was clearer now than when participating in the experiment. I now have an understanding of what the experiment was truly about because when taking it I was confused about what the purpose was. I love how they used repetition since the experiment has already been done before and they cited it. One question I do have is why we did the experiment when in the abstract it said it was given to the members of the Statistics department and their spouses/partners. How many people ended up doing the experiment overall to get accurate results?', 'It’s clearer now that the experiment was comparing the accuracy of the different mediums. I did not know that this was an experiment that was being replicated for accuracy and/or to refute the claim. I assume that the reading from his physical representation of the bars was supposed to be most accurate and the experiment was supposed to support my initial thought, it being an effort to refute an older claim does help explain why the experiment was done. I don’t have any questions for the experimenter, but I am wondering what the proportion was of the more adult staff and their spouses scored versus the college intro to statistics students.', ""What's clearer to me know is certainly extraneous things such as the extra bars, how they determined the height, etc. However, something especially interesting was that they did not mention how precise the differences in heights were going to be. I naturally rounded up my answers to at least the nearest 1's place. Regarding questions for the experimenter, is there any possible that something such as contacts or prescription glasses may affect a person's ability to be more or less accurate? Is age/eye deterioration a factor? Overall, a fascinating experiment and even cooler now that I know more of the behind-the-scenes stuff.""]"
