document_index,document,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
0,I think this was a paried control group because the variables were related to each other and they both were related to what the results would be.,0.5306827849304357,0.021250322189149472,0.07577435191111256,0.024183916665407472,0.028288562788732024,0.022532020462698813,0.021695990221378438,0.033595341803993845,0.0480398698973888,0.023484692006682913
1,I think the control group was the models we had and randomization was in the form of that we didn't know which model we were going to do next.,0.4042205199135249,0.026441881271087538,0.11304876813864848,0.032536164159137806,0.044114344069685105,0.026507720596443914,0.027746968891332855,0.037156761876725834,0.08801706820867024,0.03204261055368809
2,Randomization was used because we were given different bags with different numbers and maybe some of the bags had different items.,6.794322179918437e-308,1.478094591615269e-308,5.645550064612107e-308,4.419336866472907e-308,5.735084715281914e-308,1.185662220840872e-308,1.0,2.491534602939505e-308,2.1249930612928724e-308,7.711844171947891e-308
3,Randomization could be each person having different blocks to judge and having to find the size difference between them. A control group was that we all came to the same place to do the experiment and it was a controlled environment.,0.3427219635312039,0.02807887671369176,0.13356606097487134,0.03713265294642133,0.053013534080971446,0.027430515801471503,0.03160014714644936,0.04075844715822155,0.10075097810804502,0.036779631217597676
4,"Randomness was used by the test subject in picking the order of bar graphs, it could have also been used to determine control percentages (using a random number generator 1-100) for the different graphs used. 

The use of a control group was demonstrated by the older results being compared to current ones. The older data is the control group.",0.1954386265795359,0.2017540364863582,0.07265730073772012,0.03391773891439357,0.039748832395547336,0.15153471855613815,0.03082312131698735,0.027193490384254664,0.03844624975589295,0.03776478085270872
5,"random convenience sample for sampling due to just taking a random ""convenience"" sample of all stats 218 students.

I don't think there is any control group as every individual did the experiment by by themselves and there were not placebo or other vehicles controlled by the experiment creators.",1.0,1.263859573387618e-308,4.948648023251563e-308,1.535087738590858e-308,1.801111424390143e-308,1.3113195913277495e-308,1.3979849965370636e-308,2.33727937598852e-308,2.950731099173907e-308,1.4877622259860065e-308
6,"Randomization was used by having each student get randomly assigned ti a different bag of blocks. The control group was students that were taking STATS 218. I think that this was easiest for the experiment so that results were of a similar population,",0.0925878414229025,0.014279942772468414,0.10150944848347698,0.04028223771822435,0.23053372127787775,0.01223057579969532,0.04064480799628567,0.031767788777256264,0.03488816337833075,0.047935025596635844
7,"There were different bags of models, that people used at random. This was most likely to have some factor of randomization.",6.821102547189298e-308,1.4803270269188e-308,5.693288989126271e-308,4.466472222948608e-308,5.745129221537322e-308,1.1854889567480084e-308,1.0,2.5151292244509264e-308,2.1341237471934555e-308,7.738675456200374e-308
8,I think randomization was definitely present in this design I think there was no control group because most of the experiments were random. But I think overall this study was designed to have both sides of the experiment randomized to really give the participants all a fair chance to answer a variety of questions given on the test.,0.1956964679760435,0.01666314638091125,0.14196039067824617,0.029856040297329897,0.04029899518308264,0.014936538376635972,0.023256460223206286,0.03715805078713938,0.0848674247060738,0.028733094102592685
9,The use of a control group was used as all the participants within the experiment were in the same class and given the same questions to answer over the same kits. There was also randomization used as the questions and kits very all in a random order when presented in the experiment. There was also a process of replication used as the questions and kits were very similar as the experiment was performed.,0.13043068463797391,0.021468812268105673,0.18741120898708377,0.08744012057749867,0.051038069077788836,0.0177160414203353,0.035197150225153774,0.041745887274475195,0.06616331814861053,0.06165030426654369
10,"Random assignment because it was given to stat students, not necessarily specific students. Random selection as well because everyone was given different bags to use for the experiment. Lastly, replication because it was done multiple times to get accurate results.",1.4802372613085486e-307,1.895134320325628e-308,1.0,5.253252837518781e-308,6.0592974476067485e-308,1.6579561674976e-308,3.2947022087311253e-308,4.478326460361745e-308,8.976417383820867e-308,4.664207475155573e-308
11,"The control group was pretty narrow because of the fact that it was only for student AT UNL that are currently enrolled in the intro to stats class. The randomization was pretty narrow in a sense that it's one subject taken at UNL, instead of having students from a more advanced stats class or calc class complete the experiment.",1.0,1.2478293194320895e-308,4.913907522978953e-308,1.5280354301922385e-308,1.785145903992692e-308,1.2831739138166734e-308,1.3961151541493414e-308,2.379519508664193e-308,2.8646212399340623e-308,1.4808103579109643e-308
12,"I think control group, because it is limited to students enrolled in a stats class. If it were random, there would be a few from this class, a few from an english class, bio class, etc.",1.0,1.2786988808770965e-308,5.152140614597816e-308,1.5694546118276393e-308,1.872113685311887e-308,1.3148284588570086e-308,1.448665429086116e-308,2.442144390493915e-308,3.0175775755928506e-308,1.529170440091204e-308
13,I don't believe randomization was used as the experimental group was only STATS 218 students. Since the experiment was conducted last year it could be compared.,1.3907667724194052e-307,1.485181402571579e-308,1.0,3.763132122643709e-308,4.939980394439787e-308,1.2793291585232515e-308,3.2109264293370885e-308,9.501725217841067e-308,4.471766029517821e-308,3.787540997111178e-308
14,Randomization was present in making the kits and distributing to the individuals.  Randomization was used to avoid bias.,0.0669053114104836,0.012232332732779284,0.07860324011166604,0.09449060664441651,0.0569995564370013,0.01002372581843675,0.03392503211815378,0.02421749576608023,0.026935950123119265,0.06702665345817543
15,control was probably determined off the same shape given both physical and digitally,1.0,2.875650597489969e-308,4.968019991851567e-308,1.8734189872948003e-308,2.3530996819992507e-308,3.480365295585513e-308,1.6441841068050086e-308,1.776142967059906e-308,2.9890031930289234e-308,1.9190875725080373e-308
16,"Control group: A control group may have been included to compare responses to a standard (i.e. commonly used graph)
Counterbalancing: To control order effects, the order that students were exposed to graphs may have varied across individuals",0.38748506091571405,0.03809047216405396,0.08594664449526894,0.03167110723188325,0.03860937855469111,0.03916031733880928,0.027552869305344153,0.033490884449369186,0.05403070784364162,0.03147540970597659
17,"Randomization was used to present the graphs to us. They were all presented in a randomized order to prevent bias of seeing one model before another. 

I don't really think there is a control group, but since everything that is given to us is randomized, it helps keep everything unbiased. 

This study was replicated from Cleveland and McGill and replication is important in experiments to compare the findings, and build on the knowledge of the experiment.",0.430857925609044,0.05122458605500691,0.08523202942546776,0.03411988357800726,0.0419539547189578,0.05029350834846425,0.029448487743695448,0.03146508471424521,0.0500603430537684,0.03515697969837699
18,randomization because both the bag of 3d printed graphs and the code generated were random for each given person that completed the experiment.,0.20263645918396328,0.323894350590817,0.09275534726164417,0.047555456091752574,0.05189935035352266,0.08796564018258521,0.04019291772883502,0.033791135603028245,0.04789505772010329,0.053039057714035553
19,"I believe radimnization was used for the presented bar graphs, however there was one bar at least at 50% and I believe that to be the control group. I believe it comes ntonues asking questions on om different bar graphs for different sections depending on your answer to the question.",0.3535827951501355,0.06072749550222572,0.06089408663591447,0.02575449000312953,0.03154560405025572,0.06787263616845966,0.02321069367254407,0.02278523514575887,0.03391042330082323,0.02760630734231089
20,The elements would be the blocks and they are used as the control group.,1.0,1.8460724440690516e-308,6.650571389762212e-308,2.066424204692161e-308,2.667402733384459e-308,1.9635509027859994e-308,1.8587284872425837e-308,2.589076057706202e-308,4.587462205707216e-308,2.04491950333634e-308
21,"I don't remember there being the use of a control group other than showing us the height of a stat in a bar graph, the variable that is being manipulated is the different heights of bar graph data points and their nehighboring points. Another randomized portion was which bag you got, I assume they all had different bar graphs to observe increasing the amount of data points. I think each of these as well as anything else was included, was done so in order to get a clear confirmation that the variable they are testing for indeed was influencing.",0.3776993657267695,0.03649516623771263,0.08910237710564492,0.032266193378035074,0.043042528541233485,0.037354504848782465,0.029061635672752936,0.03361543658631471,0.05552169238564476,0.03335395152186165
