question,doc_id,response_text,primary_topic,primary_topic_fit,primary_topic_name,primary_topic_prob
q1,0,I think that’ll look a lot different to a person just in general compared to a person conducting the investigation. That’s because whoever is doing the scientific investigation will be researching facts and finding information about the topic and learning about it while the normal person will look at it one way and one way only because they wouldn’t know anything about it. The general person more and likely wouldn’t know anything about it either so they wouldn’t pay much attention towards it. And I also think the process for the person doing the investigation will be fact checking their information while a general person would find any kind of information and just believe it.,1,1,1_individual_times_thought_importance,1.0
q1,1,A researcher has to form a hypothesis and create the ramifications for an experiment. A researcher probably must ensure the experiment is carried out concisely and uniformly. They must ensure there aren't any outside variables affecting the outcomes. Also unlike a civilian they probably run the experiment a multitude of times to ensure the results are consistent.,0,0,0_depth_researcher lot_think researcher_compared general,1.0
q1,2,"The process of scientific investigation is just looking deeper into different experiments and variations. As a researcher, you kinda know what you're looking for in the experiment just based on scientific guesses. As a person in the general public, you do not notice the experiment but experience the result.",6,6,6_look like_stats_experts_investigation look,1.0
q1,3,I believe that it will consist of the person being researched doing the experiment more than once. To make sure that the results stay consistent. I believe that it will result in the results the need. The consumer i feel like its different i feel like researchers are not only interested in the results but also the process for which they got the results. Consumers are more just about the final product and what the result it and how they can benefit from the research.,4,4,4_peers_factor_conducted_field,0.28903774087785367
q1,4,I believe that scientific investigation is the. process of thoroughly checking your sources as well as making hypothesis to try and further understand the world we live in. the process is to make sure we are informed and have correct knowledge of our topic. I think science happens through repeated trial and error with the hope of getting the right answer.,6,6,6_look like_stats_experts_investigation look,1.0
q1,5,"From the perspective of a researcher the process of scientific investigation is very meticulous and requires many steps to find the answer they are looking for. Researchers identify questions and create hypothesis to design and conduct experiments that collect data to give them an answer of what they are looking for. Researchers engage in experiments and investigation to expand their knowledge in the field they are interested in. From the viewpoint of someone who is a member of the general public, they view scientific investigation differently than a researcher. The perspective of someone who is just in the general public would see scientific investigation much more summarized and just look at the data rather than think of the scientific process that goes into collecting data. The general public wouldn't look at the process that the researcher takes and would get a much more summarized view of what the data looks like. Although both the researcher and general public get the final result of the investigation the researcher takes a much deeper dive into how the data is found compared to someone from the general public",0,0,0_depth_researcher lot_think researcher_compared general,0.13415732913797068
q1,6,"On the scientist's side, it starts with an idea. A scientist will first get an idea of something new or how to improve something. The scientist will perform experiments and equations, and through a lot of trial and error, science is founded. The general public's perspective focuses more on results than the process. The general public tends to forget the crucial parts of an experiment and only care about the results.",-1,-1,-1_class_actually_ones_learning,0.29555545184023757
q1,7,"Well I have taken stats before so I know that what researches look for is unusual results. We have null and alternative hypothesis to test these and can run a large number of tests and confidence intervals to determine if they hold true. There is a long process to determine what sort of statistics we have, which tests to run on them, and what we are looking for. I will say that I do know and will always remember what my AP stats teacher taught me: ""When P is low, reject the Ho""",6,6,6_look like_stats_experts_investigation look,1.0
q1,8,"From the prospective of a researcher, I think that the process of scientific investigation looks a lot like researching, collecting data, and finding a conclusion. To a researcher I think that this would be lots more work than someone in the general public or a consumer. A scientist would need to investigate, formulate a hypothesis, collect data, and then figure out conclusions based on what they found. Much more work to be done as a scientist than a consumer, but could be more fun too.",9,9,9_hypothesis conducting_investigation involves_main_look like,1.0
q1,9,"A researcher will be the one performing the investigation and wants to know the results of said investigation in order to make a conclusion and take that into account for their research. Someone in the general public who is a consumer of scientific results is not going to take the information they learn from the scientific investigation further - because it is most likely not something they are researching on. The researcher is going to be very tedious and careful with their investigation, while someone in the general public may not be because it is less important to them.",0,0,0_depth_researcher lot_think researcher_compared general,0.14291349713568954
q1,10,I think the process of scientific investigation looks like a series of specific steps taken by a researcher to ensure that their hypothesis is either right or wrong. I think the steps are very specific and lead to a keen conclusion. These steps are taken differently compared to who is performing the research. An example is a high school student performing this process vs an expert researcher performing the process.,9,9,9_hypothesis conducting_investigation involves_main_look like,0.266085076376908
q1,11,"I think that the process of scientific investigation is the process of using scientific methods to explore the world around us. It also involves asking questions, making observations, and analyzing data to uncover new knowledge. It also deals with observational units along with variables.",6,6,6_look like_stats_experts_investigation look,1.0
q1,12,"When being a researcher, you have to look at more than one perspective. The general public will consume whatever results are provided, usually provided by the media like the news. The researcher is involved in experimenting and then the data collection, not just making people take a survey and looking at the mean, median, and range of it. Lastly, the general public might not even fully understand the results provided by the investigation, causing for there to be misunderstandings.",0,0,0_depth_researcher lot_think researcher_compared general,0.13964820408937273
q1,13,"From the perspective of a researcher, the process of scientific investigation involves 1. asking a research question 2. designing a studying to collect data 3. exploring that data 4. drawing inferences 5. formulating a conclusion 6. looking back and ahead to see what went well, and what could be changed next time for a better outcome. To ensure this process goes well, experts must partake in intense planning and collaborating with other experts. From the perspective of the general public, scientific investigations are simplified and summarized versions of the experiments. We experience science in our world everyday. Science can also happen from ""accidents"". Then, scientists can formulate scientific questions and a hypothesis to test. That, in turn, affects our world, because our world is always changing.",6,6,6_look like_stats_experts_investigation look,1.0
q1,14,"I think the difference between being the researcher and the consumer is that the consumer isn't fully cognoscente of their role in the research, but the researcher is. Researchers are designated to study and come up with a conclusion related to their topic of interest, and their statistics come from the consumers, which end up being their statistics. From the consumers side, they are either observed or asked questions regarding the researcher's investigation. Science will always take place, but its whether the researcher investigates something that determines if it's recorded science or not.",8,8,8_interested_attention_regarding_results science,1.0
q1,15,The process of scientific investigation for a researcher takes a lot of planning and testing of hypotheses. A researcher first has to make an observation which leads to a question needing to be answered. A hypothesis is then made using what the researcher knows to be true. The hypothesis is then tested using a certain population which can be the general public. The general public is not worried about the results of the investigation but contribute based on personal experience.,7,7,7_group_researched_gathered_tested,1.0
q1,16,The perspective of a scientific researcher would be much more detailed and broad compared to a consumer of scientific results. When going through the process of scientific investigation a researcher will be able to understand the results much more clearly and be able to apply it more diversly. A consumer might only be interested in how he or she can apply for their own benefits.,8,8,8_interested_attention_regarding_results science,1.0
q1,17,"From the perspective of a researcher, you are more keen to observe patterns and trends which would lead to a research question to prompt a scientific investigation. Researchers have to interpret data and communicate it in an articulate manner. The general public, a consumer of scientific results, is likely not as aware as the researchers about the context and statistic significance of a scientific result.",0,0,0_depth_researcher lot_think researcher_compared general,0.19765620766027
q1,18,"The process of scientific investigation is to objectively establish facts and evidence through experimentation. This involves making observations, forming a hypothesis, creating a prediction, conducting the experiment, and concluding by analyzing the results. All of this is to validate observations while minimizing researcher bias.",10,10,10_investigation starts_prediction_include_questioning,1.0
q1,19,"From the perspective of a researcher, the process of scientific investigation looks very detailed and experimental based. I think researchers are always looking for explanations for questions/ hypotheses. This can be done with the scientific method, and by starting with identifying a question based on existing knowledge. Then, researchers will design experiments or studies to collect data about their questions. After conducting research, they will analyze the data to draw conclusions and hopefully find successful results. After this, they then publish their findings no matter the results. The results should be published even if it was not the data you were hoping for because then other researchers can analyze it and draw conclusions of their own. Conversely, from the perspective of someone in the general public who is a consumer of scientific results, it may seem like a way easier/ simplified version. The general public usually just gets summaries of results and does not see the intricacies of the research/ experimental process. As consumers, they may see the scientific investigation as a series of discoveries or breakthroughs without fully appreciating the extensive effort involved in generating those results.",1,1,1_individual_times_thought_importance,0.42302432315536637
q1,20,"The first step is determining what is being researched. The researcher then gathers background information on the topic to better understand it. A hypothesis is created before the research/ test is conducted. The research/ test is conducted and the results are analyzed and shared if requested or needed. 

A consumer of scientific research results will first aim to understand what is being researched and why. Explore the results, and form their own opinions on the topic.",7,7,7_group_researched_gathered_tested,0.4257631603638654
q1,21,"The process of scientific investigation when comparing a scientific researcher to the general public will be very different. A Scientific researcher will follow the process of scientific investigation at each step and ensure that each step is performed properly. This includes identifying a research question, forming a hypothesis, gathering evidence, Analyzing the evidence, deciding whether the evidence supports the hypothesis, concluding, and communicating the results. The general public may follow these steps but would more than likely have errors within their research or even skip a step or not follow a step properly.",1,1,1_individual_times_thought_importance,1.0
q1,22,I think this process is basically a lot of data being taken from a survey or a project and then being used for a scientific investigation.In general public people may not even know a investigation is being taken or done to them its secretive and hidden.People walk by all day long and don't realize that they could be in that data that is being used for the investigation.,7,7,7_group_researched_gathered_tested,0.2757456343635997
q1,23,For the researcher there has to be a long list of ethical guidelines that make sure everyone in the studies is safe and that they understand what is going on. The consumers are just taking in that information and they don't really have to think about the ethics of the situation because they just assume that everything was done correctly.,4,4,4_peers_factor_conducted_field,0.2486723942973166
q1,24,"Well as someone who has taken a handful of science based classes I believe in the scientific process, which is what I think any researcher would believe in as well. I think for a researcher there would need to be a large sum of evidence that supports a hypothesis, enough that it is irrefutable to believe the hypothesis is incorrect. I do think a member of the general public would want to see evidence for something, I think that it would take much less evidence and there would be things that could convince them of an incorrect solution like a well known company or brand.  In general, I think science happens when a question is asked, tested and then wrote about in a manner that controls other variables that could influence the data we are looking for.",5,5,5_theory_reject_disprove_theories,0.22090440096825484
q1,25,"First and foremost, the process that a researcher goes through compared to an everyday citizen is much more extensive and involves a larger amount of thought and analytics that go into it. Researchers have to take into consideration things such as sample size, how to conduct the study, etc. Consumers of science may be able to see a brief explanation of how the study was conducted and the final results that were portrayed out of it. They see the end result, but were not a part of making it possible in the first place.",0,0,0_depth_researcher lot_think researcher_compared general,0.2951964080682136
q1,26,"From the perspective of a researcher, conducting scientific research is along process characterized by curiosity, rigorous experimentation, and teamwork. It starts with the formulation of a hypothesis based on observations and current knowledge, which is then tested through the design and execution of experiments. Through lots of tests and lots of failure researchers examine data, make conclusions, and share their results. However, from the perspective of the general public, scientific research could seem more like educational materials. They might not fully understand the difficulties and complexities that come with doing scientific research.",-1,-1,-1_class_actually_ones_learning,0.714701549083685
q1,27,"The process in a researcher perspective is more like gathering the data and asking the questions. They need to put in the work and make sure they ask the right questions they need in order for their study to work, also making sure the data makes sense in a way someone who isn't a researcher would also understand. The process for someone in the general public would look different because they would be the ones answering the questions the researcher is asking. I think science happens from using the scientific method and making sure everything makes senses and checks out.",-1,-1,-1_class_actually_ones_learning,0.23138493443956043
q1,28,"From the perspective of a researcher, scientific investigation involves creating a scientific question, designing a study, and figuring out how to find a non-biased, representative public sample to research if the study involves the public. Then the researcher carries out the study, analyses the results, and publishes them. From the perspective of someone in the general public who consumes scientific results, a scientific investigation involves learning about the study that is being carried out, analyzing the published results of the study, and understanding what the result of the study was as well as how those results might impact them. Overall, scientific investigation involves a researcher carrying out a study and the public taking in and analyzing the results of said study.",9,9,9_hypothesis conducting_investigation involves_main_look like,1.0
q1,29,"I feel the processes are both different. Being in the perspective of a researcher requires more steps than being someone in the public looking at the results. Being the researcher, you have to first figure out the topic you want to gather information about and have some knowledge regarding the topic. Then you are able to start figuring out how to test the theory and get data. If it worked out then you would have your statistics regarding the topics. Which sometimes I feel statics can be alter depending on the way they were ran. Whereas being the consumer of the results, you more or less trust the data without knowing the process. Science happens when you ""test"" or ""run"" the experiment to test out initial ideas.",8,8,8_interested_attention_regarding_results science,0.41554425926615074
q1,30,"Scientific investigation is very different for a researcher compared to someone in the general public. For a researcher, scientific investigation always follows a process and some sort of steps. Often these steps may include asking a research question, designing a study and collecting data, exploring the data collected, drawing inferences, formulating conclusions, and looking back and ahead to the future. I feel all researchers follow these steps because they work to make an investigation that is viable and has real results. The general public is very different because they just see the numbers from the results. These numbers do not tell the entire story of the research as they are just the conclusions that were made from the scientific investigation done by a researcher.",1,1,1_individual_times_thought_importance,1.0
q1,31,"From the perspective of a researcher, I think that a scientific investigation looks like collecting data on the observed units and then dissecting what the outcome is and how that connects to the hypothesis. To someone who is in the general public, it could look like what a normal graph or chart looks like but not understand what all the units and data points are. The general public might be asked questions and from their answers, they could fit into a categorical or quantitative group.",6,6,6_look like_stats_experts_investigation look,1.0
q1,32,"As a researcher, they would have multiple steps planned out. They would think of all the things that a researcher needs to complete the study. As someone in the general public, I think that researchers are these people in white lab coats that asks a series of questions and write it down on a paper being held up by a clip board. In my personal opinion, the science isn't necessarily science but just reporting answers. What I mean by this is that most of the examples that we've had in calls has been categorical results like whether or not you get a car. Sometimes I think that when it is real science, I think of chemistry. Like mixing random liquids together until you get a different color or even smoke.",-1,-1,-1_class_actually_ones_learning,0.6765946850641666
q1,33,"I think the process of scientific investigation by a researcher is more of a calculation of the results of the investigation. I believe that the process of scientific investigation by someone in public is different. This process for someone in the general public (the consumer) would be that the consumer gets asked the questions by the researcher and then would be asked to answer those questions. After the researcher gets results the researcher has to investigate by doing background research. The researcher then has to draw a hypothesis, then eventually test the hypothesis, and then draw a conclusion to get the results they are looking for. That is how science happens.",4,4,4_peers_factor_conducted_field,1.0
q1,34,"I think scientific investigations present themselves differently from the perspective of a researcher vs. the consumer of the results. This is because when you are the researcher, you have formed the question, and came up with the incidentals for how a case will be tested/ received. However, I find myself, as a consumer of scientific results in class, questioning the researcher, and asking questions that could allow for improvement. I believe this is because I, myself did not have to worry about actually conducting the case, so the ""what-if,"" and improvements didn't actually have to be implemented. With that being said, I think the major difference is that a researcher tries to make an investigation as simple as possible, whereas it is easy for an observer to try and overcomplicate the investigation, which can lead to further investigations built off the original findings.",-1,-1,-1_class_actually_ones_learning,0.2639172363745095
q1,35,"I assume a scientific investigation follows along with the scientific method. With similar methods of asking a question, designing a study, and observing and communicating results. For a researcher this experiment could be their life's work, but to a consumer it may just be some research study or new information.",4,4,4_peers_factor_conducted_field,1.0
q1,36,From the perspective of a researcher it probably looks like someone who is going to collect data and find out why it is. What I mean by that is the researcher is going to gather evidence and conduct some sort of experiment to understand why. From a general public it is probably gonna look like just another test of some sort being done on people to hopefully get the answers they need.,-1,-1,-1_class_actually_ones_learning,0.70989569964517
q1,37,"I believe that science is extremely meticulous in today's world. In the past, many researchers have made mistakes that have caused severe consequences, so current researchers are working to mitigate these kinds of mistakes and further human knowledge of endless scientific subjects. So, for a researcher, I believe their process is detail-oriented and lengthy. On the other hand, I feel as though the public sees scientific investigation as a much easier process, while still complicated. This reflects how I feel, as normally when I read scientific articles, I do not understand most of the information being put out.",-1,-1,-1_class_actually_ones_learning,0.25631731815591763
q1,38,"A good scientific investigation begins with a question. You then come up with a hypothesis that guesses the outcome of your question. The next step is to find your data, either through an experiment or a simulation. A consumer may not see all of the steps of the method, they might only see the data or the conclusion.",4,4,4_peers_factor_conducted_field,1.0
q1,39,"I'd assume scientific researchers see a problem or an observation in society such as an increase in food waste by a University. The researcher would then look at factors that could affect this observation, such as hours of operation for a cafe, amount of food produced, or items available. Then the researcher would come up with a strategy to collect this data. The general public doesn't see any of the data or work that goes into creating the strategies. The students at University could see firsthand the food waste being thrown out.",7,7,7_group_researched_gathered_tested,0.27609264612002976
q1,40,"Researchers are looking for people in their targeted audience to conduct/ask questions to related to their cause. Researchers are very knowledgeable about the topic or topics. Researchers are accustomed to these interactions. Meanwhile, people of the general public are not. People of the general public are often thrown off guard when asked random questions in public, depending on the setting, and can often be thrown off just answering randomly to get away from the interaction. People of the public can also be more bias and less overall, knowledgable.",0,0,0_depth_researcher lot_think researcher_compared general,1.0
q1,41,"I think that the first part of the experiment involves coming up with a research question that is able to be tested in some way. After coming up with your research question, you'll develop a hypothesis to what you think the result of your experiment could be. Then you'll need to decide what methods you're going to use to test your theory, and actually then preform the test. During the test you'll be collecting your data and recording it. After your experiment is over you'll need to analyze what your data actually means in terms of your research question, and then draw your conclusions from that. Often, if you get results that are repeatable from your experiment the scientist will publish their work, usually in paper form. The general public as a consumer of the product of that research often doesn't see much if any of that. The only insight they might get is maybe some statistics about how the results of this study hold up against similar ones.",7,7,7_group_researched_gathered_tested,1.0
q1,42,"Researchers look at it very practically while people in the general public may try and understand it and apply it rather than want to understand the way the research was conducted. Researchers are, at least should be, more inept at how they should conduct a certain type of experiment, so they are more inclined to judge and question it. A regular consumer might just take the information at face value, judging more the result than the process.",4,4,4_peers_factor_conducted_field,0.18752613208696398
q1,43,"I think that science from the perspective of the researcher is a much longer, and drug out process. Researchers are the ones that have to put in the hours of work that produces a result that consumers could really just scan through and get the basics. The researchers also are the only ones that get to see the outcomes they hadn't anticipated. The consumers only see what the researchers want published.",8,8,8_interested_attention_regarding_results science,1.0
q1,44,"Science is the result of investigation, observation, testing, and analysis. Scientists' curiosity drives their inquiries about the natural world and their effort to unravel its secrets. These inquiries result in solid assumptions about how things operate, or hypotheses, which are then put to the test through carefully organized experiments or observations. These tests outcomes are examined and interpreted in order to draw conclusions that could either support or don't support the original theories. Scientific theories that describe natural occurrences are formed through a repeated procedure of hypothesis testing, data collection, analysis, and modification that results in a deeper understanding of events.",5,5,5_theory_reject_disprove_theories,0.3053481102239459
q1,45,"I think the process looks like asking a question that can be researched and studied, and get data on from the public or organization. The researcher has to make a hypothesis or a question to follow to allow the research to go on. Then the next step is to get the data from the public so it can be studied and put into a stat. Then I believe the researcher will provide the guests and participants with the data and research they found.",7,7,7_group_researched_gathered_tested,0.36147416560816226
