topic_id,n_docs,topic_name_default,Representation,KeyBERT,MMR,POS,Representative_Docs,question,proportion,top_terms,representative_docs,topic_label_llm
-1,172,-1_class_actually_ones_learning,"['class', 'actually', 'ones', 'learning', 'results think', 'depth', 'lots', 'data analyzing', 'public think', 'complete']","['investigation perspective', 'public scientific', 'peer review', 'experiments analyzing', 'results science', 'hypothesis conduct', 'collecting data', 'investigation looks', 'conduct experiment', 'results perspective']","['class', 'actually', 'lots', 'data analyzing', 'complete', 'solve', 'average person', 'feel like', 'tested', 'public just']","['class', 'ones', 'learning', 'depth', 'lots', 'simple', 'average', 'public consumer', 'detailed', 'average person']","[""From the perspective of a researcher I know the process requires an approach of taking certain steps such as formulating a hypothesis, designing an experiment, and gathering the data. This process then leads to further understanding of the subject or could even lead to bigger questions where new discoveries can be made. On the side of the general public I would say it leads to a lot of confusion and lack of understanding. I feel that a lot of the times some research findings are not talked about in common spaces because individuals believe that research is too complicated to understand. Which leaves those who are in the sector of education being the only ones who constantly see and read what new findings or approaches are being explored. I would say I have a mixed perspective on the topic of research. Although I do understand the reasons why research is conducted I sometimes find it frustrating at how slow the process is and it's lack of intervention. What I see is oftentimes just papers and papers written about findings or processes that can be taken to find certain things but when does the action and implementation actually take place? I think in an ideal world there would be a balance with research being made and proactively putting research findings to play in the real world."", ""For researchers, scientific investigation begins with asking questions and solving experiments. It's a detailed process of trial and error, where they constantly refine their understanding based on evidence. As far as the general public (the consumer) it begins with learning new discoveries from social media and the news. They might not see the behind the scenes work, like designing experiments or analyzing data. Instead, they get simplified versions that are easier to understand."", ""I think the process of scientific investigation will look different depending on if you're a researcher or simply someone in the general public who's a consumer of scientific results. I think there's a lot more understanding and clarity on the research side of things because they know how it all works behind the scenes; whereas the general public is just expected to trust this process, without really\xa0 understanding how it gets done. It's a lot more complex and detailed on the research side of things since they're dealing with research questions, hypotheses, experiments, and various studies. Scientists are the ones involved in this strenuous process of investigation and because of this they have a very clear understanding of the data being produced; whereas the general public doesn't see any of this investigation process and/or have the high degree of knowledge that requires clear understanding and analysis of this process. The general public consumes this research using their current level of understanding and/or competence, and forms their own opinions from it, and in doing so, they could be consuming this information with a more biased or subjective lens, whereas researchers know how to look at the information with a more objective and unbiased lens.""]",q1,0.2721518987341772,"class, actually, ones, learning, results think, depth, lots, data analyzing, public think, complete","From the perspective of a researcher I know the process requires an approach of taking certain steps such as formulating a hypothesis, designing an experiment, and gathering the data. This process then leads to further u || For researchers, scientific investigation begins with asking questions and solving experiments. It's a detailed process of trial and error, where they constantly refine their understanding based on evidence. As far as th || I think the process of scientific investigation will look different depending on if you're a researcher or simply someone in the general public who's a consumer of scientific results. I think there's a lot more understan",
0,87,0_depth_researcher lot_think researcher_compared general,"['depth', 'researcher lot', 'think researcher', 'compared general', 'public researcher', 'researcher general', 'public just', 'public likely', 'public does', 'person general']","['public researchers', 'researchers perspective', 'understanding scientific', 'conduct research', 'think researchers', 'experiment researcher', 'public researcher', 'like researcher', 'results scientific', 'think researcher']","['depth', 'compared general', 'trying', 'parts', 'think researchers', 'participate', 'process perspective', 'public general', 'fully', 'figure']","['depth', 'parts', 'good', 'article', 'simple', 'final', 'field', 'example', 'true', 'member']","[""Generally speaking, I believe that the perspective of the process of scientific investigation from a researcher would be more in-depth and specific. In contrast to this, the general public would have a more bland and general view of everything. This is due to the researcher knowing more behind-the-scenes stuff. The researcher might also view the general public as just a statistic that he must work with. Regarding the general public, they might just see science as a random event. For example, say a researcher is trying to figure out if a certain sunscreen ingredient causes cancer and they are observing normal people who use the sunscreen (yes, this may be unethical but bear with me); let's say that the researcher does find that the brands that have this sunscreen ingredient have more cancer-related events. So the researcher figures this out, and now brands ban the ingredient from the sunscreen. Once this information reaches the general public, they are just going to blame the brand and start picking brands without that certain ingredient. This is the cause and effect for the public, and we can put ourselves in the researcher's shoes, imagining all of the stuff they had to do to figure this out and how they are contributing to science. Overall, science is a cause-and-effect relationship; something happens, and we don't know why, so we take the time to do research and to answer the most important question... why?"", 'A scientific investigation typically begins with identifying a research question or problem to be addressed, followed by a thorough review of existing literature to understand what is already known in the field. Researchers then go on to design and conduct experiments to collect and analyze data. The results from this data collection are then used to make conclusions, which are peer reviewed prior to a final publication. A perspective from someone in the general public may view this complex process as something more straightforward. It is unlikely the general public is able to interpret the data correctly because of this, which can lead to misinterpretations of scientific research. Imagine a filed of study you know nothing about. You can read a scientific article as a consumer to better understand the material, however, whoever dove into the complexities to write the publication received extensive hands on experience which again, as the consumer, you would not be able to relate to that extent knowing nothing about the field of study prior.', ""From the perspective of a researcher the process of scientific investigation is very meticulous and requires many steps to find the answer they are looking for. Researchers identify questions and create hypothesis to design and conduct experiments that collect data to give them an answer of what they are looking for. Researchers engage in experiments and investigation to expand their knowledge in the field they are interested in. From the viewpoint of someone who is a member of the general public, they view scientific investigation differently than a researcher. The perspective of someone who is just in the general public would see scientific investigation much more summarized and just look at the data rather than think of the scientific process that goes into collecting data. The general public wouldn't look at the process that the researcher takes and would get a much more summarized view of what the data looks like. Although both the researcher and general public get the final result of the investigation the researcher takes a much deeper dive into how the data is found compared to someone from the general public""]",q1,0.13765822784810128,"depth, researcher lot, think researcher, compared general, public researcher, researcher general, public just, public likely, public does, person general","Generally speaking, I believe that the perspective of the process of scientific investigation from a researcher would be more in-depth and specific. In contrast to this, the general public would have a more bland and gen || A scientific investigation typically begins with identifying a research question or problem to be addressed, followed by a thorough review of existing literature to understand what is already known in the field. Research || From the perspective of a researcher the process of scientific investigation is very meticulous and requires many steps to find the answer they are looking for. Researchers identify questions and create hypothesis to des",Researcher Perspective vs Public Understanding
1,49,1_individual_times_thought_importance,"['individual', 'times', 'thought', 'importance', 'easy', 'errors', 'hard', 'idea', 'question designing', 'straightforward']","['investigation perspective', 'think researchers', 'view scientific', 'designing study', 'study results', 'step scientific', 'different researcher', 'consumes scientific', 'experiments data', 'investigation looks']","['individual', 'importance', 'errors', 'hard', 'idea', 'designing study', 'step scientific', 'starts question', 'wouldn', 'results process']","['individual', 'times', 'importance', 'easy', 'errors', 'hard', 'idea', 'straightforward', 'simple', 'change']","['Prior to this class, I was pretty familiar with the process of scientific investigation, and have put it to practice many times throughout the past few courses I have been in. From the perspective of a researcher, I think that in the perspective of a researcher, the scientific process, is a way for them to solve a problem in a accurate, and reasonable way. To researchers its a process that involves investigating their own thoughts, and their own predictions. They get to question their own predictions, and follow steps to find the solution or answer, by doing this they also get a chance to learn and educate themselves more. They understand the importance of every step, and know why following each step is crucial to the process. However, someone in the public that does not do the research, and follow the scientific method, and just consumes the results, does not view the process, and each step as crucial as a researcher. They may not understand why following each step of the scientific process in order is so important, and vital for proper research. The public viewer just gets to see the results, and accept the results, they get a summary of the process, but do not get to see every step, and challenge their own thoughts, and ideas by completing the scientific process. Usually they just stumble upon the research through media, and do not get to see the scientific method in action, and observe each step of it.\n\nI think science happens by first a idea, or problem that someone has, and they want to challenge it, or have it make sense to them. From there I think that they begin to \'investigate"" this idea, or problem, whether that be by engaging in conversations with others to get more thoughts on it, and expand their knowledge on it, or challenge it further. From there, I think this is when the scientific process occurs, and starts. I think that science begins from a simple idea from someone, and their want to investigate it further.', ""This process of scientific investigation varies crucially through the lens of a research student or researcher individual compared to the general public since the general public can often simplify data and not see crucial details in scientific outcomes. The general public can also overlook key information when reviewing a study's results due to not knowing the importance of certain details in a type of subfield discussed within the study (it might not always relate to the key principle of the study). For example, if there was a study on increased market demand for clothing manufacturing in Southern Asia and the humanitarian concerns and fatalities associated with work-related injuries but the study had briefly mentioned technical information about the machinery used in clothing manufacturing. Without taking this detail into account, an individual in the general public might gloss over the importance of the harmful effects breathing in toxic chemicals and exhaust from the machinery might be a factor and might have led to increased fatalities. This would be overlooked by the individual within the general public possibly and thus not considered as a reason/change the idea of the outcome of there being a correlation between the observational unit and the variable analyzed within the research."", ""This process of scientific investigation varies crucially through the lens of a research student or researcher individual compared to the general public since the general public can often simplify data and not see crucial details in scientific outcomes. The general public can also overlook key information when reviewing a study's results due to not knowing the importance of certain details in a type of subfield discussed within the study (it might not always relate to the key principle of the study). For example, if there was a study on increased market demand for clothing manufacturing in Southern Asia and the humanitarian concerns and fatalities associated with work-related injuries but the study had briefly mentioned technical information about the machinery used in clothing manufacturing. Without taking this detail into account, an individual in the general public might gloss over the importance of the harmful effects breathing in toxic chemicals and exhaust from the machinery might be a factor and might have led to increased fatalities. This would be overlooked by the individual within the general public possibly and thus not considered as a reason/change the idea of the outcome of there being a correlation between the observational unit and the variable analyzed within the research.""]",q1,0.07753164556962025,"individual, times, thought, importance, easy, errors, hard, idea, question designing, straightforward","Prior to this class, I was pretty familiar with the process of scientific investigation, and have put it to practice many times throughout the past few courses I have been in. From the perspective of a researcher, I thin || This process of scientific investigation varies crucially through the lens of a research student or researcher individual compared to the general public since the general public can often simplify data and not see crucia || This process of scientific investigation varies crucially through the lens of a research student or researcher individual compared to the general public since the general public can often simplify data and not see crucia","Scientific Investigation Importance, Personal Experience, Public"
2,45,2_contrast_peer review_news articles_ongoing,"['contrast', 'peer review', 'news articles', 'ongoing', 'systematic', 'complexities', 'journey', 'articles', 'collect analyze', 'encounter']","['understanding scientific', 'research process', 'peer review', 'consuming scientific', 'results scientific', 'scientific knowledge', 'experiments studies', 'conducting experiments', 'peer reviewed', 'designing experiments']","['contrast', 'peer review', 'journey', 'collect analyze', 'reliability', 'existing', 'news', 'interpretation', 'test hypotheses', 'overlooked']","['contrast', 'ongoing', 'systematic', 'complexities', 'journey', 'articles', 'reliability', 'news', 'interpretation', 'discoveries']","[""The process of scientific investigation involves a systematic approach that can vary significantly between researchers and the general public. From a researcher's perspective, it often begins with identifying a question or problem, followed by extensive literature reviews, hypothesis formulation, and designing experiments to gather data. This process includes meticulous planning, data collection, analysis, and peer review to validate findings. In contrast, the general public usually sees science as a series of finished products or headlines—studies published in journals, news articles, or popular science media—without fully grasping the complexity and rigor behind them. This gap can lead to misunderstandings about scientific findings, as the public may view results as definitive answers rather than as part of an ongoing inquiry where new evidence can change previously accepted theories. Ultimately, while researchers are immersed in a detailed and iterative process, consumers of scientific results often encounter simplified narratives that may lack the nuance of the scientific method."", 'From the perspective of a researcher, the process of scientific investigation is characterized by rigorous methodology and systematic inquiry. Researchers begin with a question or hypothesis, conduct thorough literature reviews to build on existing knowledge, design experiments or studies with controlled variables to test hypotheses, collect and analyze data using appropriate statistical methods, and finally draw conclusions based on evidence. This process involves peer review, where findings are scrutinized by experts in the field for validity and reliability before publication. In contrast, for the general public consuming scientific results, the process may appear more straightforward and finalized. They often encounter polished conclusions through media or educational sources without the intricate details of data collection, analysis, and peer review, which are critical for understanding the nuances and limitations of scientific findings.', 'From the perspective of a researcher, the process of scientific investigation typically begins with observation and questioning, where they identify a problem or phenomenon to explore. They then formulate hypotheses, design experiments or studies to test these hypotheses, collect and analyze data, and draw conclusions based on their findings. This process often involves rigorous peer review, replication of results, and ongoing refinement of theories based on new evidence. In contrast, from the perspective of someone in the general public who consumes scientific results, the process might seem more straightforward and finalized. They may encounter scientific findings through news articles, social media, or other sources, where the complexities of the research process are often simplified or omitted. As consumers, they rely on the authority of scientific institutions and the credibility of researchers to provide accurate and reliable information, often without a deep understanding of the intricacies involved in generating that knowledge.']",q1,0.07120253164556962,"contrast, peer review, news articles, ongoing, systematic, complexities, journey, articles, collect analyze, encounter","The process of scientific investigation involves a systematic approach that can vary significantly between researchers and the general public. From a researcher's perspective, it often begins with identifying a question  || From the perspective of a researcher, the process of scientific investigation is characterized by rigorous methodology and systematic inquiry. Researchers begin with a question or hypothesis, conduct thorough literature  || From the perspective of a researcher, the process of scientific investigation typically begins with observation and questioning, where they identify a problem or phenomenon to explore. They then formulate hypotheses, des",Researcher's Scientific Journey
3,42,3_news_public science_big_discoveries,"['news', 'public science', 'big', 'discoveries', 'trial error', 'trial', 'error', 'figuring', 'view science', 'headlines']","['public science', 'view science', 'consuming scientific', 'peer review', 'using scientific', 'discoveries', 'study results', 'peer reviewed', 'results perspective', 'experiments data']","['public science', 'big', 'figuring', 'step process', 'clear', 'starts question', 'learn', 'testing ideas', 'claim', 'actual']","['news', 'public science', 'big', 'discoveries', 'trial', 'error', 'headlines', 'clear', 'social media', 'major']","[""From the perspective of a researcher, the scientific process is methodical, often slow, and full of uncertainty. It starts with a question or observation, then moves through forming hypotheses, designing experiments, gathering data, and constantly revising ideas based on evidence. As a student, I see how research requires careful planning, ethical considerations, and a lot of trial and error. From the public's point of view, though, science can seem like a set of clear-cut facts or headlines that appear fully formed, without the messy background work. I think it's important to understand that science isn't about finding absolute truths, but about building the most accurate explanations we can, based on current evidence."", ""From a researcher's perspective, science is a structured approach that includes posing questions, developing hypotheses, performing experiments, interpreting data, and drawing conclusions based on factual evidence. Scientists adhere to strict research protocols, often conducting repeated trials to guarantee precision and reliability. Their findings are submitted to peer-reviewed journals, where other experts critically assess their work before it is acknowledged as valid scientific knowledge.\n\nFor the general public, science is frequently presented through simplified news articles, headlines, or social media summaries, which may not accurately reflect scientific research's complexity and evolving nature. Many people view scientific conclusions as absolute truths when science is a continuous process that refines and expands existing knowledge over time. The public may also expect quick solutions, whereas researchers recognize that scientific breakthroughs require time, involve uncertainty, and must undergo rigorous validation before being widely accepted."", 'I think from a researcher’s point of view, science is a lot of trial and error. It starts with a question or a theory, and then they design experiments, collect data, and keep testing things until they get reliable results. They’re constantly making adjustments and looking at their work from different angles. On the other hand, the general public usually sees the end result, like a news story or a published paper, but they don’t always realize all the behind-the-scenes work that goes into it. Most people just hear about the conclusions, not the endless testing and revising that happens along the way.']",q1,0.06645569620253164,"news, public science, big, discoveries, trial error, trial, error, figuring, view science, headlines","From the perspective of a researcher, the scientific process is methodical, often slow, and full of uncertainty. It starts with a question or observation, then moves through forming hypotheses, designing experiments, gat || From a researcher's perspective, science is a structured approach that includes posing questions, developing hypotheses, performing experiments, interpreting data, and drawing conclusions based on factual evidence. Scien || I think from a researcher’s point of view, science is a lot of trial and error. It starts with a question or a theory, and then they design experiments, collect data, and keep testing things until they get reliable resul",Researcher's Perspective: Trial and Error Process
4,40,4_peers_factor_conducted_field,"['peers', 'factor', 'conducted', 'field', 'actual', 'effort', 'good', 'assume', 'thought', 'gets']","['investigation researchers', 'researchers perspective', 'research perspective', 'hypothesis research', 'research researcher', 'perspective scientific', 'investigate', 'researching', 'data experiment', 'formulate hypotheses']","['peers', 'factor', 'conducted', 'actual', 'thought', 'gets', 'beliefs', 'easily', 'ensure', 'background research']","['peers', 'factor', 'field', 'actual', 'good', 'effort', 'thought', 'quick', 'sample', 'large']","[""I think that research can take on many different forms depending on the subject, and that is part of the biggest misconception regarding how consumers view science. The scientific model is something that everyone is taught in school, but not everybody continues to pursue a scientific field once they get out of primary school. I have a psychology minor, and one of the things that I've learned about that field is that a lot of the process of scientific study in that field comes from trying to replicate previously established results to support the claims. Due to the nature of the field, this can prove to be very difficult, and a lot of the things presented as knowledge are just educated predictions and inferences. I think a researcher has to pay a lot more attention to what other researchers are doing in their field than a consumer, who's instinct is to take what they read and hear as fact. I also think that consumers may not understand all of the language that is being used in the actual studies, but that can cause other people to misrepresent studies and mislead consumers to incorrect assumptions about data, so I think that's probably also something that researchers would have to be aware of."", 'The process of scientific investigation starts with observing something in the natural world that causes the scientist to ask a question. Once this question is asked, background research can be conducted on the subject. This leads to the construction of a hypothesis, or an educated guess, on what the scientist believes the outcome of said question will be. With a question asked, and a hypothesis constructed, an experiment can be formulated and then conducted. This experiment could be conducted once or many times depending on what results are needed. Once completed, any results or data that the experiment provided can be analyzed to draw conclusions. These conclusions can then be shared for further review and analysis. To the general public, the most that a consumer sees is the question, hypothesis, experiment, and results after they already have been conducted. It is rare for a consumer to see the formulation of any of these steps, but rather the concrete details of what has already been said and done. For most general consumers, they only ever see the question asked and the results. Rarely do they explore further. This means their perspective can be narrow.', 'From the perspective of a researcher, the process of scientific investigation involves a systematic approach to acquiring knowledge through observation, experimentation, and analysis. Researchers formulate hypotheses, design experiments or studies to test these hypotheses, collect and analyze data, and draw conclusions based on evidence. This process often requires critical thinking, attention to detail, and collaboration with peers to ensure rigor and accuracy in the findings. Additionally, researchers must adhere to ethical guidelines and peer review processes to maintain the integrity and credibility of their work.\n\nFrom the perspective of someone in the general public who is a consumer of scientific results, the process of scientific investigation may appear more straightforward and streamlined. Consumers typically encounter scientific results through media sources, educational materials, or public announcements. They may perceive science as a series of definitive findings or discoveries presented in a clear and accessible manner. However, consumers may not always be aware of the complexities involved in the research process, including potential limitations, uncertainties, and ongoing debates within the scientific community. As a result, there may be a gap between the perception of science as a finished product and the dynamic, iterative process of scientific inquiry.']",q1,0.06329113924050633,"peers, factor, conducted, field, actual, effort, good, assume, thought, gets","I think that research can take on many different forms depending on the subject, and that is part of the biggest misconception regarding how consumers view science. The scientific model is something that everyone is taug || The process of scientific investigation starts with observing something in the natural world that causes the scientist to ask a question. Once this question is asked, background research can be conducted on the subject.  || From the perspective of a researcher, the process of scientific investigation involves a systematic approach to acquiring knowledge through observation, experimentation, and analysis. Researchers formulate hypotheses, de",Systematic Approach to Research Peer-Influenced Scientific
5,40,5_theory_reject_disprove_theories,"['theory', 'reject', 'disprove', 'theories', 'curiosity', 'create hypothesis', 'solution', 'repeating', 'experiment test', 'doing research']","['believe scientific', 'using scientific', 'science based', 'creating hypothesis', 'researches', 'create hypothesis', 'research perspective', 'making observations', 'come hypothesis', 'experiment analyze']","['reject', 'individuals', 'causes', 'recording', 'creating hypothesis', 'place', 'prior', 'mind', 'years', 'basic']","['theory', 'theories', 'curiosity', 'solution', 'individuals', 'reason', 'causes', 'curious', 'issue', 'prior']","['I think that science happens through the basic process of creating a hypothesis, experimenting on such, and then recording/publishing these results. This is obviously done more methodically if the science is considered import and life changing. It will have many steps that are smaller and meticulous depending on what the project is.', 'I believe all science happens first from observation but then someone who learns about the cause of these observations and has background knowledge can learn from the previous findings to make new observations. These new observations create hypothesis based on prior knowledge which can lead to the development of an experiment to test it. Data will be collected from this experiment which than inferences can be made and will either support or reject the hypothesis. The most important part of science is that this isn’t a fact because it is 1 experiment so it will need to be redone and made into a better experiment continuously and always give same result.', 'I believe all science happens first from observation but then someone who learns about the cause of these observations and has background knowledge can learn from the previous findings to make new observations. These new observations create hypothesis based on prior knowledge which can lead to the development of an experiment to test it. Data will be collected from this experiment which than inferences can be made and will either support or reject the hypothesis. The most important part of science is that this isn’t a fact because it is 1 experiment so it will need to be redone and made into a better experiment continuously and always give same result.']",q1,0.06329113924050633,"theory, reject, disprove, theories, curiosity, create hypothesis, solution, repeating, experiment test, doing research","I think that science happens through the basic process of creating a hypothesis, experimenting on such, and then recording/publishing these results. This is obviously done more methodically if the science is considered i || I believe all science happens first from observation but then someone who learns about the cause of these observations and has background knowledge can learn from the previous findings to make new observations. These new || I believe all science happens first from observation but then someone who learns about the cause of these observations and has background knowledge can learn from the previous findings to make new observations. These new",Hypothesis Testing in Science
6,38,6_look like_stats_experts_investigation look,"['look like', 'stats', 'experts', 'investigation look', 'numbers', 'researches', 'data analyzed', 'factual', 'investigation looks', 'drawn']","['researches', 'think researchers', 'researchers point', 'public science', 'researcher ask', 'experiments studies', 'using scientific', 'like scientific', 'process research', 'public scientific']","['look like', 'numbers', 'researches', 'drawn', 'true', 'prediction', 'run', 'answering question', 'normal', 'issue']","['stats', 'experts', 'numbers', 'researches', 'factual', 'true', 'prediction', 'society', 'normal', 'issue']","['From the perspective of a researcher learning about the process of scientific investigation, may look like engaging in hands on real-world experiences that can be applied elsewhere in science and in society. From a perspective of someone in the general public, it might look like being surveyed, questioned, interviewed, and studied. It might also look like gaining insights into what is happening in science and in research currently to further help educate the public. I think science happens through a specific set of rules and regulations. Not everything can be studied scientifically, but if it does, it needs to follow general guidelines. I think science happens when researches study a phenomenon, do their research, and then test it over and over again until they can get to conclusion that can be generalized. Science can be studied by those who have the educational background and qualifications to do so.', 'A scientific investigation from a researcher\'s standpoint is a logical attempt, starting from the definition of an issue or a question. Then, there is a hypothesis, the design constraints for a logical setup or order of experiments or studies that will truth-test this hypothesis; it generates data. Finally, data are analyzed, and conclusions are drawn, which may suggest either a refinement of the hypothesis or even new questions to be asked. The whole process is enthralling and cyclical and may involve peer review and a repetitive investigation process for validating initial conclusions. For someone who is a layperson, however, the scientific enterprise probably seems like a series of ends and discoveries or ""facts"" that appear right from the mouths of, in all likelihood, experts. Thus, a lot of those on the end of scientific results are likely to miss out on the crises of testing, revision, and questioning involved in most of the scientific enterprise, with only findings and conclusions being available to them, often through media outlets.', 'A scientific investigation from a researcher\'s standpoint is a logical attempt, starting from the definition of an issue or a question. Then, there is a hypothesis, the design constraints for a logical setup or order of experiments or studies that will truth-test this hypothesis; it generates data. Finally, data are analyzed, and conclusions are drawn, which may suggest either a refinement of the hypothesis or even new questions to be asked. The whole process is enthralling and cyclical and may involve peer review and a repetitive investigation process for validating initial conclusions. For someone who is a layperson, however, the scientific enterprise probably seems like a series of ends and discoveries or ""facts"" that appear right from the mouths of, in all likelihood, experts. Thus, a lot of those on the end of scientific results are likely to miss out on the crises of testing, revision, and questioning involved in most of the scientific enterprise, with only findings and conclusions being available to them, often through media outlets.']",q1,0.060126582278481014,"look like, stats, experts, investigation look, numbers, researches, data analyzed, factual, investigation looks, drawn","From the perspective of a researcher learning about the process of scientific investigation, may look like engaging in hands on real-world experiences that can be applied elsewhere in science and in society. From a persp || A scientific investigation from a researcher's standpoint is a logical attempt, starting from the definition of an issue or a question. Then, there is a hypothesis, the design constraints for a logical setup or order of  || A scientific investigation from a researcher's standpoint is a logical attempt, starting from the definition of an issue or a question. Then, there is a hypothesis, the design constraints for a logical setup or order of ",Scientific Investigation Process (from Researcher's Perspective)
7,38,7_group_researched_gathered_tested,"['group', 'researched', 'gathered', 'tested', 'answered', 'coming', 'conduct experiment', 'necessary', 'plan', 'doesn']","['research process', 'hypothesis research', 'process research', 'researcher ask', 'research questions', 'research public', 'experiment study', 'collecting data', 'create hypothesis', 'making hypothesis']","['answered', 'necessary', 'plan', 'doesn', 'population', 'data public', 'question form', 'experiment study', 'deep', 'improve']","['group', 'plan', 'necessary', 'population', 'control', 'subjects', 'deep', 'society', 'survey', 'sources']","[""I think that the first part of the experiment involves coming up with a research question that is able to be tested in some way. After coming up with your research question, you'll develop a hypothesis to what you think the result of your experiment could be. Then you'll need to decide what methods you're going to use to test your theory, and actually then preform the test. During the test you'll be collecting your data and recording it. After your experiment is over you'll need to analyze what your data actually means in terms of your research question, and then draw your conclusions from that. Often, if you get results that are repeatable from your experiment the scientist will publish their work, usually in paper form. The general public as a consumer of the product of that research often doesn't see much if any of that. The only insight they might get is maybe some statistics about how the results of this study hold up against similar ones."", ""I think that this process from the perspective of a researcher would be firstly coming up with a question that can be answered through studies. After that collecting data either through different surveys or other data collecting measures. Then interpreting the data. The general public usually doesn't know or read about the behind the scenes of different scientific investigations. So compared to the researcher the general public really only looks for the results of the intended investigation. I believe that both aspects are important for the investigation. Science is a growing topic, and it also helps improve our society so if the general public cant understand what the results mean from different scientific investigations, it can be hard to improve."", 'The understanding of certain nuances is important to acknowledge from this process, and how each set of people (researchers versus general public) views methodology. This process involves the participates to form a research question which has a detailed hypothesis, descriptive data, intuitive experiments, and has its researchers drawing conclusions based on their knowledge learned/applied and the data given/found. That is a researchers perspective, which differs from the common civilian which in their case views this process as a black-white type of ordeal. The information found for the general public is public (news articles, scientific websites, trustworthy peers), especially since their perspective is finding key factors that rely on common knowledge with little to no implications, rather then diving deep into the subject/subjects being tested, so no intricate details being researched.']",q1,0.060126582278481014,"group, researched, gathered, tested, answered, coming, conduct experiment, necessary, plan, doesn","I think that the first part of the experiment involves coming up with a research question that is able to be tested in some way. After coming up with your research question, you'll develop a hypothesis to what you think  || I think that this process from the perspective of a researcher would be firstly coming up with a question that can be answered through studies. After that collecting data either through different surveys or other data co || The understanding of certain nuances is important to acknowledge from this process, and how each set of people (researchers versus general public) views methodology. This process involves the participates to form a resea",Experiment Planning and Research Question Formulation
8,29,8_interested_attention_regarding_results science,"['interested', 'attention', 'regarding', 'results science', 'apply', 'eyes', 'researchers point', 'asks', 'ones', 'life']","['conduct research', 'researchers point', 'different researcher', 'researches', 'consumer results', 'process research', 'conducting experiments', 'question research', 'like researcher', 'results science']","['interested', 'researchers point', 'life', 'pay', 'accurately', 'looks different', 'focus', 'standpoint', 'maybe', 'individual']","['interested', 'attention', 'eyes', 'ones', 'life', 'different ways', 'groups', 'standpoint', 'thing', 'participants']","['I feel the processes are both different. Being in the perspective of a researcher requires more steps than being someone in the public looking at the results. Being the researcher, you have to first figure out the topic you want to gather information about and have some knowledge regarding the topic. Then you are able to start figuring out how to test the theory and get data. If it worked out then you would have your statistics regarding the topics. Which sometimes I feel statics can be alter depending on the way they were ran. Whereas being the consumer of the results, you more or less trust the data without knowing the process. Science happens when you ""test"" or ""run"" the experiment to test out initial ideas.', 'I think scientific research from a researchers point of view looks a lot different in many ways. For one, the researcher is the one who organizes the study, which in most cases probably takes a lot of work. Another reason being they are the ones questioning the participants and collecting the information. In most cases, for the consumer it is an easy and simply short process when you are apart of a study. To me it looks like answering a certain amount of questions based on the types of research, and maybe doing other extra little things. In cases of a long study, it can take a while and take dedication from the participant, but is definitely much different from the researchers point of view.', 'I think that the process of a researcher looks very different from the consumer of the results. That is because the researcher is the one who makes an observation, asks questions, researches the background of the topic, form a hypothesis, test the hypothesis, and then draw conclusions from that. This process is rigorous and takes someone who will consider any and all aspects in order to provide the most valid and reliable results. On the other hand, the consumers are just absorbing the results that are being communicated to them from the researcher, and it makes sense, but the consumer would not been able to reach these conclusions like the researcher did. The researcher provides understanding for the consumer.']",q1,0.04588607594936709,"interested, attention, regarding, results science, apply, eyes, researchers point, asks, ones, life","I feel the processes are both different. Being in the perspective of a researcher requires more steps than being someone in the public looking at the results. Being the researcher, you have to first figure out the topic  || I think scientific research from a researchers point of view looks a lot different in many ways. For one, the researcher is the one who organizes the study, which in most cases probably takes a lot of work. Another reaso || I think that the process of a researcher looks very different from the consumer of the results. That is because the researcher is the one who makes an observation, asks questions, researches the background of the topic, ",Researcher's Perspective vs Public's View
